100,4,53
6814,7879,4384,2850
74,26,94,98,16
58,78,60,14,26
71,38,47,42,23
65,14,63,32,14
16,60,22,88,20
69,27,20,43,40
27,88,32,58,7
47,36,99,28,32
91,95,66,86,21
52,61,76,38,28
73,85,20,85,19
97,20,43,95,3
91,54,54,38,11
96,65,100,79,20
63,72,28,35,4
40,71,29,45,27
92,75,78,29,4
13,49,29,47,8
27,36,64,29,43
47,82,72,87,8
39,19,16,72,24
87,94,94,99,37
85,21,85,19,43
45,91,47,42,15
41,66,88,81,42
28,82,32,98,14
51,62,92,31,13
15,29,42,83,33
62,78,98,19,16
71,33,47,43,1
80,76,94,18,22
85,91,45,44,20
46,58,32,25,3
42,76,89,33,31
33,38,40,37,32
57,19,23,87,36
23,46,63,51,15
86,43,77,41,14
56,24,77,87,8
33,74,65,11,50
84,39,72,54,9
90,29,84,77,12
56,48,81,50,7
98,99,13,62,44
69,29,37,33,39
71,26,10,81,34
63,79,98,43,13
97,88,87,68,18
68,92,17,90,25
53,38,67,97,41
72,86,12,21,37
84,71,39,53,34
95,45,59,17,36
85,41,74,63,16
67,46,76,87,24
97,74,18,36,2
94,36,12,86,18
40,13,36,20,8
39,37,79,91,49
41,42,57,99,12
71,58,20,19,41
66,16,50,43,48
33,37,94,26,44
81,81,30,88,28
44,64,100,53,9
18,39,52,74,46
42,30,17,25,48
70,71,55,29,29
31,50,77,78,17
78,65,49,33,35
14,19,74,23,35
30,65,80,91,36
93,73,75,90,6
100,52,15,12,30
74,16,52,46,46
86,40,51,51,36
70,48,88,84,30
65,29,67,42,7
76,43,89,96,46
37,17,66,64,21
15,84,98,97,47
18,63,72,36,45
73,67,32,12,4
29,75,41,90,8
59,80,15,73,38
65,79,68,32,17
82,80,41,71,43
99,44,12,12,6
65,95,69,30,50
42,77,42,18,26
36,93,76,26,44
34,58,19,36,14
99,71,76,22,16
94,33,47,55,45
21,37,75,94,38
55,27,90,46,28
54,34,98,80,15
67,46,10,91,41
37,33,18,59,26
90,34,41,73,6
