75,5,50
73,556,466,448,300
7,0,2,0,10,7
10,5,10,8,6,23
8,0,6,0,0,45
13,5,3,7,9,30
13,0,0,10,5,33
0,0,8,6,12,40
7,8,12,5,0,30
7,5,6,7,4,8
8,0,3,12,9,16
0,8,12,8,6,11
10,2,7,3,1,39
9,2,4,12,5,17
12,7,9,12,5,10
2,5,3,2,5,40
12,5,4,7,4,4
9,12,3,0,7,41
8,8,13,0,1,44
12,13,5,10,1,9
11,6,1,0,4,23
7,2,4,11,1,31
2,6,0,11,4,30
3,3,4,12,2,11
13,1,13,2,7,26
4,2,6,5,12,36
13,6,6,1,5,1
1,8,6,0,5,47
2,7,13,9,13,12
5,8,0,1,6,11
10,1,8,2,13,22
1,9,4,9,13,34
7,6,8,0,0,26
12,8,3,4,1,37
7,13,1,4,2,22
0,5,6,4,4,17
3,3,3,5,10,0
12,1,0,3,2,7
11,13,9,11,13,26
10,8,7,8,9,33
4,0,10,13,6,36
11,2,7,7,1,29
9,3,2,6,8,39
13,2,9,6,8,44
9,1,13,3,9,1
2,0,5,5,13,45
7,8,5,0,3,29
3,1,9,12,0,42
1,4,5,2,3,46
3,2,11,0,3,4
9,7,12,9,9,47
2,2,0,8,11,36
5,13,8,12,5,30
4,3,9,7,4,3
13,13,12,12,8,43
6,9,8,1,5,35
8,4,1,1,6,15
8,11,10,3,7,36
9,6,13,12,0,37
6,13,5,12,9,46
6,1,5,1,9,34
8,9,3,13,12,8
10,10,12,9,12,19
6,2,11,12,7,10
8,3,3,4,8,31
12,8,11,0,5,48
12,13,0,4,6,30
10,11,5,1,8,33
5,5,0,6,8,10
9,7,0,8,13,32
4,0,12,11,8,8
6,5,11,3,5,1
11,0,10,5,12,17
5,10,2,2,4,18
5,9,6,13,11,37
11,5,7,7,6,21
11,9,1,0,11,7
