60,4,50
272,206,291,478
16,9,9,16,17
2,15,13,8,21
4,4,12,1,33
6,3,13,1,6
5,12,10,0,8
7,1,6,6,6
4,9,9,7,18
5,10,4,9,17
9,7,6,16,32
3,0,14,16,5
5,14,12,16,18
7,2,7,2,33
1,2,16,11,47
16,5,2,0,27
13,15,0,12,19
1,1,3,16,23
0,1,5,6,25
12,11,5,8,47
2,13,1,11,0
15,3,6,16,24
15,11,8,11,6
14,13,15,12,8
1,1,7,14,1
13,16,16,16,47
15,16,14,4,18
16,6,1,8,48
6,5,10,14,35
16,6,6,14,15
2,3,11,5,28
6,12,8,2,13
2,1,10,2,41
13,1,5,13,40
4,0,11,2,49
6,3,16,0,21
16,7,9,14,14
8,4,8,13,50
1,3,14,16,4
2,9,3,13,43
3,11,7,0,39
3,0,11,9,43
0,9,6,15,48
14,4,13,1,10
16,10,15,16,42
15,3,1,16,6
7,0,10,3,13
15,12,11,1,49
5,0,15,14,14
11,13,5,5,8
15,12,7,8,47
11,6,14,0,7
14,7,6,8,9
14,6,6,14,18
7,8,0,3,2
1,16,3,16,2
15,10,8,3,32
0,2,14,8,9
5,6,5,16,17
2,0,10,16,9
0,4,0,11,41
13,14,4,4,23
