65,3,50
783,58,910
9,3,0,0
5,7,4,39
14,2,14,9
5,5,14,46
0,12,13,33
0,6,1,36
3,7,0,11
12,10,2,28
0,11,9,3
1,4,5,44
0,6,3,19
15,10,6,2
5,8,9,41
5,8,4,30
1,8,13,28
11,14,0,33
13,13,2,0
10,13,3,39
4,6,2,25
14,13,5,4
5,3,9,26
11,10,7,8
4,10,8,31
5,3,10,16
9,3,2,14
6,10,5,34
0,12,2,44
12,6,3,23
8,5,4,9
9,4,2,37
4,4,8,25
1,1,5,21
13,3,2,41
15,2,3,27
13,14,13,20
0,13,7,19
6,6,3,39
6,13,14,20
9,0,6,19
7,2,12,26
15,6,10,2
12,15,7,4
4,5,8,50
2,10,9,43
7,13,13,38
12,15,3,27
11,4,9,45
15,13,5,50
9,4,1,25
4,7,7,15
12,8,13,28
10,4,3,3
3,3,11,31
2,0,8,12
2,10,10,10
1,9,8,23
1,4,0,6
1,3,11,48
12,1,4,0
0,4,10,30
2,0,4,43
0,9,5,23
6,8,1,0
5,15,14,42
1,0,464,47
