25,15,50
870,140,593,525,709,876,778,103,997,102,639,790,499,996,461
8,38,15,15,14,11,37,21,38,38,33,20,3,19,9,25
32,8,24,21,20,12,34,10,24,10,25,32,4,24,37,26
21,25,18,34,22,34,33,22,22,1,4,17,22,1,18,30
9,18,26,28,28,21,23,12,39,3,13,3,21,18,11,46
27,5,38,2,4,5,2,2,36,39,1,6,14,22,11,16
19,17,38,18,0,20,28,15,31,11,5,20,23,28,40,47
0,20,3,20,4,13,37,31,33,39,17,25,32,24,7,30
7,39,22,24,33,12,14,24,35,35,20,15,11,40,19,25
22,35,26,25,33,30,12,4,14,14,18,3,3,10,6,39
36,30,1,15,30,30,2,8,13,15,3,4,16,21,30,1
15,38,24,14,26,5,40,22,39,29,26,15,20,5,29,18
17,4,10,31,22,0,10,12,40,39,17,25,36,28,33,28
11,35,17,4,28,26,35,37,5,18,1,29,15,5,24,49
29,6,29,31,19,19,17,23,37,0,23,17,11,10,16,36
11,28,27,1,36,13,0,7,5,15,36,29,36,11,22,9
38,22,1,9,39,19,21,6,34,37,26,23,19,22,4,33
34,38,15,11,27,18,20,14,33,32,37,22,0,10,15,40
28,39,32,39,24,13,34,2,23,16,40,38,39,4,15,9
1,6,33,5,13,37,30,14,37,35,30,38,0,24,33,27
23,23,25,31,0,39,2,38,18,31,36,6,40,23,40,32
12,8,32,17,9,9,6,37,27,28,12,24,25,5,7,44
30,16,2,0,37,6,40,24,16,22,11,34,15,34,21,46
22,11,13,19,9,17,22,38,17,21,21,26,4,21,0,36
19,10,33,33,11,2,35,10,36,31,29,15,14,14,11,27
25,21,6,11,26,14,34,20,22,0,25,30,27,33,1492,30
