60,5,50
302,301,839,707,864
6,0,6,8,12,44
6,0,6,11,8,23
9,8,8,12,16,36
3,6,16,14,4,10
7,11,12,5,8,26
12,0,14,11,15,34
8,4,15,15,15,41
14,12,2,6,10,35
1,14,13,14,13,23
6,6,8,0,16,0
12,2,13,10,13,41
14,5,13,11,14,22
8,0,6,5,13,15
11,7,12,8,10,23
15,9,1,15,13,9
4,12,8,0,4,3
1,12,3,10,9,18
3,12,4,7,5,22
7,11,9,5,10,17
16,7,12,12,14,33
3,16,0,9,16,11
15,7,7,7,13,15
16,1,8,13,4,21
15,8,5,13,15,6
0,7,3,10,12,19
12,16,7,6,2,14
12,12,0,1,1,48
10,9,6,4,11,4
8,14,9,7,1,47
6,1,10,13,8,32
2,3,12,9,14,40
2,3,6,13,1,20
2,3,9,4,6,38
13,0,15,6,9,35
10,9,7,7,7,47
15,16,5,0,0,28
15,14,16,14,7,17
6,1,12,16,5,7
11,5,1,7,13,29
6,0,11,13,16,23
10,14,13,7,4,36
1,14,12,2,4,8
13,16,7,0,11,24
5,7,9,3,2,0
8,16,8,2,9,39
11,4,7,16,10,20
5,16,5,12,4,13
10,7,11,2,4,16
8,2,13,9,3,41
2,0,1,15,14,8
6,3,3,4,5,16
15,2,12,1,4,48
8,1,12,6,16,32
16,8,16,3,14,3
12,5,16,1,4,13
11,3,3,7,9,22
0,10,13,13,2,27
14,15,10,14,3,43
12,7,1,3,4,48
5,14,10,6,554,22
