75,5,50
188,35,395,924,192
6,8,8,6,6,23
10,5,8,11,10,31
5,2,6,5,4,44
6,0,6,4,0,30
4,12,4,13,9,16
0,10,3,11,6,18
1,0,7,0,10,20
4,11,13,9,8,21
9,10,9,13,13,37
13,9,12,5,5,42
5,8,10,0,3,6
3,9,5,4,10,44
6,7,9,3,12,32
10,6,5,13,10,28
2,6,7,12,1,29
7,2,0,1,1,1
2,10,6,2,0,3
13,6,7,12,8,2
9,6,1,8,4,9
9,10,13,10,0,20
1,12,11,7,12,21
2,11,9,7,0,3
8,1,5,13,13,38
9,2,13,5,5,37
4,9,9,3,10,43
1,12,10,5,12,41
10,7,12,3,8,30
12,12,10,0,5,24
12,10,10,4,4,36
1,11,8,4,5,23
10,2,10,8,5,27
12,8,6,6,5,15
7,6,8,4,7,34
10,5,3,9,2,43
10,7,12,10,13,36
7,4,12,2,13,35
0,6,1,2,8,33
0,13,2,9,6,5
0,1,12,9,8,8
1,9,9,4,8,22
9,6,7,1,12,30
2,3,5,3,1,5
7,7,0,11,4,17
3,2,9,7,4,29
2,4,3,10,12,5
0,4,12,6,4,8
0,13,0,5,3,37
6,0,3,8,9,19
10,8,10,0,4,39
0,5,9,5,6,30
4,4,1,11,1,0
11,8,9,0,6,20
11,13,0,8,3,48
8,3,10,3,3,24
7,3,11,5,7,41
3,3,5,12,3,7
0,11,3,10,11,9
4,12,6,13,11,48
11,1,1,0,6,1
6,0,6,3,12,11
5,10,0,1,3,9
8,7,7,9,1,4
10,7,5,6,0,35
5,5,9,11,1,33
6,1,12,5,12,42
7,1,3,0,0,10
8,3,11,5,4,41
9,2,2,1,6,31
3,5,8,5,6,9
7,10,3,1,3,24
3,10,9,13,4,1
10,13,7,3,1,23
6,0,11,7,10,16
13,12,9,1,11,20
6,7,3,1,1,25
