40,4,50
900,339,880,529
0,16,10,1,6
21,1,17,18,41
4,0,5,20,36
11,24,4,23,23
13,2,25,3,31
2,8,10,7,3
10,13,2,4,42
4,20,0,0,10
4,2,17,24,32
21,22,10,12,32
10,8,24,7,21
22,18,18,8,47
13,17,18,19,34
7,7,5,24,41
20,22,11,2,38
18,18,6,22,12
13,20,9,16,39
22,12,4,20,45
2,16,4,9,19
24,1,15,20,12
22,23,14,3,34
6,12,18,1,21
8,0,0,24,26
9,0,9,22,27
19,23,7,23,43
10,19,3,5,3
20,5,22,15,32
14,21,14,12,39
15,4,1,1,13
4,2,9,6,30
24,8,23,15,19
4,25,10,9,22
10,3,20,4,37
2,22,3,6,33
22,8,18,20,33
9,12,13,10,33
0,13,0,10,34
17,14,11,5,36
23,18,0,18,32
10,8,1,794,32
