100,4,50
677,363,4,998
9,5,3,5,5
6,10,4,0,27
1,2,4,9,7
8,2,0,8,36
1,8,1,1,44
3,0,8,6,17
9,1,6,1,27
3,4,8,7,49
7,0,7,6,46
8,0,2,2,7
1,3,7,7,4
8,7,9,9,11
9,5,5,3,23
10,6,10,3,8
7,10,5,3,41
4,9,9,0,1
10,10,3,5,21
5,10,10,2,32
9,3,9,10,13
6,7,6,10,38
8,7,1,9,0
4,0,1,3,15
8,1,3,6,17
8,1,10,0,49
7,2,2,7,2
2,10,9,5,13
10,5,1,10,41
5,6,9,1,34
1,0,6,10,9
4,4,0,5,22
3,3,6,1,20
8,6,1,8,21
9,0,6,1,44
9,4,8,2,31
4,7,9,2,8
3,2,4,10,47
5,9,4,10,21
4,5,5,8,1
6,4,9,10,33
10,7,3,3,18
1,6,2,1,1
5,7,8,7,6
8,4,10,0,37
4,8,6,1,26
3,6,3,10,35
3,4,7,6,49
2,10,5,9,0
3,3,5,0,3
2,2,5,10,2
7,5,10,1,21
4,0,2,5,9
4,10,5,9,13
6,2,1,7,31
2,5,1,6,50
3,10,6,2,34
0,6,0,7,16
6,2,8,0,20
7,9,9,8,48
1,1,5,10,5
3,4,1,10,50
0,8,3,1,34
5,1,2,7,24
2,7,5,5,38
6,0,5,6,48
9,4,6,7,48
8,9,6,0,41
2,1,4,7,30
3,6,1,8,24
1,4,4,5,6
1,8,9,9,6
1,9,0,1,15
9,4,9,7,34
9,9,1,4,31
6,9,4,7,7
5,1,10,1,20
10,9,5,0,35
5,1,6,10,17
5,10,1,8,11
1,9,9,2,9
3,2,7,2,44
8,0,4,4,0
6,0,3,2,3
8,4,10,7,37
1,4,10,8,19
0,8,10,8,35
4,6,6,6,46
1,10,4,0,11
8,0,3,3,43
2,3,10,2,32
0,9,9,9,30
1,1,1,3,22
0,10,4,1,23
0,4,7,0,31
10,3,2,9,36
9,10,0,3,28
10,7,8,5,17
9,5,7,10,12
2,6,6,4,17
6,2,7,3,50
5,9,5,18,8
