85,4,50
915,235,726,400
0,2,9,2,1
7,4,1,3,21
3,3,5,4,8
2,4,11,5,33
5,1,3,10,3
7,11,7,4,42
1,9,3,11,1
5,4,4,8,6
3,8,4,10,6
7,6,6,2,47
11,5,0,2,27
11,4,10,11,20
5,2,1,9,24
2,11,6,4,19
6,0,6,8,19
6,6,7,5,44
9,6,8,6,26
9,11,11,11,33
8,8,6,7,21
6,6,2,9,22
7,5,3,8,5
8,1,1,10,15
1,2,8,4,48
1,10,3,3,21
1,0,11,0,7
1,8,0,11,36
2,5,7,5,39
4,8,7,9,12
10,5,1,5,11
8,0,10,2,39
8,3,2,10,4
1,11,4,11,11
5,3,11,8,48
0,11,6,3,50
2,5,9,3,32
1,1,9,8,30
8,3,5,0,37
4,8,5,4,15
9,3,3,8,13
5,4,1,5,34
5,5,5,8,32
1,2,11,7,22
6,6,7,8,31
4,0,1,7,24
8,10,9,8,5
6,10,8,10,20
4,8,10,7,38
0,8,4,4,8
6,0,0,9,10
8,1,4,9,21
3,3,8,6,32
10,11,2,1,11
5,8,7,8,2
0,7,4,7,47
4,9,2,10,2
6,4,11,7,33
9,3,0,0,37
7,3,1,4,4
2,0,10,5,8
2,8,6,6,47
10,11,10,2,21
1,9,1,1,34
5,7,8,3,37
9,8,4,10,17
2,3,3,9,4
0,5,8,1,43
2,0,0,4,49
4,7,10,1,16
0,9,8,7,6
10,10,6,4,32
3,2,4,4,42
0,10,6,9,10
5,7,0,0,17
9,7,3,9,44
4,5,5,7,24
7,10,5,8,14
11,0,11,9,36
2,8,2,1,12
10,1,0,7,24
4,1,6,8,23
0,1,11,11,28
4,10,1,1,6
6,8,6,3,13
4,4,10,3,15
9,7,10,432,14
