55,3,50
854,992,386
11,15,3,2
4,13,9,20
11,1,18,45
12,10,18,23
0,17,14,20
2,9,15,19
6,6,15,28
1,1,16,39
15,13,9,18
1,1,12,33
16,8,10,20
0,6,14,23
0,18,2,25
11,6,12,12
2,1,16,42
14,8,11,42
14,16,10,30
8,3,9,23
8,18,16,17
1,2,2,15
10,9,5,40
18,5,8,4
17,9,12,13
2,9,11,11
5,1,17,2
12,4,14,10
14,2,16,28
13,8,1,10
15,2,15,41
6,1,7,6
0,6,5,35
16,2,3,18
4,5,3,50
15,12,4,26
17,3,6,45
8,4,2,34
0,13,5,32
4,8,7,43
7,4,18,50
14,7,1,43
15,10,2,13
7,4,1,37
16,9,6,12
7,1,6,0
9,5,18,40
14,6,9,30
2,12,4,3
2,4,0,30
1,8,3,34
12,1,16,28
5,8,17,24
11,15,18,10
4,9,7,44
15,14,3,16
17,12,856,14
