45,3,50
560,573,29
21,1,15,5
3,0,22,39
19,13,4,29
21,18,17,3
10,19,14,11
1,8,10,5
12,14,13,25
9,12,8,14
5,15,13,9
18,10,20,0
2,7,22,47
17,5,12,44
1,8,14,7
21,7,22,47
17,9,12,11
21,7,10,1
9,22,6,26
11,19,18,17
12,14,4,6
4,9,21,36
11,5,3,32
17,8,8,38
17,9,1,49
1,7,0,24
7,2,4,35
2,20,1,21
15,2,6,3
7,19,18,43
10,10,20,24
22,15,15,31
9,10,20,28
3,12,12,50
8,9,19,12
3,19,17,28
12,13,17,3
11,17,14,35
8,18,17,20
8,2,15,31
12,21,0,36
10,17,11,1
2,7,9,26
17,6,9,36
14,20,13,14
3,11,6,40
6,7,5,23
