95,3,50
43,36,275
4,1,7,19
1,8,3,27
9,2,4,30
3,8,7,16
9,7,0,4
3,4,10,42
0,8,5,41
6,5,3,8
4,4,6,50
9,5,9,33
4,2,4,38
1,1,10,12
7,4,8,15
10,8,8,42
6,6,0,43
5,10,10,41
9,8,5,38
10,6,1,20
4,6,4,5
9,10,2,45
7,10,7,31
0,6,10,30
0,7,2,32
6,10,6,10
1,2,3,15
9,10,4,46
5,9,1,36
0,6,10,41
5,3,0,0
5,7,9,11
1,6,8,44
0,2,3,34
4,2,6,33
1,3,0,42
7,3,0,48
9,4,1,33
3,1,10,23
1,8,5,23
10,9,3,6
10,6,6,7
6,4,1,29
8,2,3,45
10,2,9,26
2,7,7,4
5,2,10,7
3,2,10,27
7,9,4,11
1,5,6,30
6,7,8,13
5,0,8,48
9,1,1,47
6,2,8,46
5,7,10,6
0,3,0,18
9,5,6,46
8,5,8,29
5,6,0,31
9,0,2,43
8,4,5,5
2,10,4,48
10,1,2,40
4,4,1,43
0,10,4,35
4,8,1,13
7,6,7,25
0,4,4,7
5,3,2,34
3,6,5,34
10,4,9,18
8,4,9,26
1,1,3,47
6,4,1,44
7,0,1,50
0,0,10,15
1,7,0,10
6,6,10,30
6,8,9,43
6,0,3,48
3,4,8,39
0,3,7,35
2,0,1,27
5,7,5,27
8,5,1,0
5,3,7,14
4,7,5,7
9,3,2,18
9,7,2,39
1,4,1,6
4,5,1,48
7,10,10,26
10,2,0,13
0,0,7,20
10,2,6,47
2,5,8,22
3,10,1,39
