90,4,50
445,399,709,180
1,7,2,6,39
0,3,0,3,35
5,10,0,9,43
1,4,4,6,42
2,9,4,4,0
1,8,6,1,24
10,8,2,10,49
8,4,6,5,7
11,10,2,3,34
9,8,4,6,31
8,3,9,4,50
6,4,4,8,13
6,0,9,1,38
8,7,0,5,4
0,2,10,4,46
0,8,5,2,30
0,3,6,3,44
1,1,11,9,45
3,11,2,10,12
3,1,2,1,34
8,9,9,6,49
9,6,6,7,1
0,3,3,7,36
1,4,10,1,50
11,3,4,6,48
3,10,7,6,33
7,10,3,10,16
6,1,7,11,41
9,4,9,3,4
6,8,10,10,26
4,4,0,11,40
2,7,2,8,30
4,11,9,1,16
11,3,0,6,15
7,3,10,4,18
11,4,5,0,25
10,11,7,11,38
1,10,10,5,25
6,10,9,0,1
10,1,1,1,19
1,9,9,6,14
3,6,9,2,40
4,6,11,11,23
2,8,5,7,37
5,6,6,10,11
10,8,1,3,2
8,7,2,9,38
1,1,5,1,40
1,6,9,1,35
7,11,0,7,38
2,10,9,10,25
7,1,7,0,28
3,9,0,4,10
11,10,9,3,39
1,1,0,4,32
11,0,5,8,18
4,6,8,11,34
4,11,5,2,5
5,3,7,1,12
0,2,10,1,22
4,4,3,3,47
6,5,11,8,44
10,5,3,0,19
4,9,10,11,24
8,6,11,5,11
11,7,3,1,9
5,5,0,2,18
2,1,4,11,32
6,10,5,5,29
11,0,1,10,29
6,5,2,6,10
6,8,5,0,38
6,10,9,1,36
11,0,3,0,18
11,11,0,10,9
8,3,0,1,33
5,2,5,11,22
3,7,1,11,44
3,7,9,7,29
10,5,11,9,16
11,11,3,2,33
10,1,11,4,25
1,4,0,0,11
11,10,8,2,18
4,0,11,0,4
10,7,7,11,31
11,8,10,9,48
7,3,8,2,21
0,7,4,10,31
1,5,4,8,6
