60,3,50
855,182,911
4,4,15,45
5,15,14,30
1,1,2,22
10,14,0,3
8,9,2,36
8,6,10,42
2,14,11,13
14,3,12,24
12,13,13,50
1,6,8,12
5,1,7,37
16,7,3,30
8,16,14,2
7,7,11,15
16,6,12,15
1,12,0,0
4,13,7,3
13,13,10,27
15,12,7,22
4,0,12,3
6,0,6,1
1,2,6,3
7,1,9,15
2,4,0,2
13,15,11,41
3,3,11,35
1,3,14,33
15,0,1,9
0,12,10,13
7,8,9,22
5,10,13,28
16,3,11,9
6,9,12,14
15,5,4,32
9,13,0,43
2,11,5,17
0,14,11,17
11,3,10,49
2,9,14,16
0,1,0,6
8,5,10,3
5,9,1,0
14,2,7,3
6,11,0,34
9,7,15,14
3,11,0,17
0,10,12,40
9,15,13,44
7,10,11,32
12,1,5,4
16,2,6,35
9,4,6,23
3,1,0,3
8,3,11,50
7,4,0,6
15,11,1,29
15,16,7,49
15,15,11,23
15,15,16,6
9,12,567,38
