100,4,50
413,433,441,827
7,4,3,8,36
9,10,10,9,3
3,1,5,9,27
10,2,2,7,15
10,1,4,8,34
9,3,1,10,17
9,5,5,7,9
7,0,3,9,49
5,9,7,0,20
3,8,2,9,33
7,2,3,9,27
3,6,2,5,18
3,8,2,9,16
7,1,2,4,33
9,10,9,1,29
1,3,8,8,48
2,5,5,9,42
10,9,2,9,8
7,10,4,7,40
0,8,8,8,28
8,0,1,8,14
4,1,2,6,1
6,5,0,1,0
6,1,9,1,10
1,9,10,9,28
2,6,2,4,2
6,3,4,6,1
3,1,2,3,26
8,1,2,8,27
3,5,9,3,7
5,2,3,3,50
4,3,2,1,30
10,10,8,10,14
2,3,7,1,20
8,4,0,3,13
1,4,3,1,16
10,9,3,9,1
1,3,7,7,12
7,4,3,2,46
2,2,8,9,33
0,3,6,7,26
7,3,1,6,47
9,10,9,5,37
3,3,9,1,21
7,9,6,4,32
1,10,2,0,6
9,1,4,6,47
10,1,1,0,49
10,9,7,3,21
8,5,0,1,3
0,7,9,1,30
10,5,8,10,41
1,10,0,6,18
2,5,6,7,49
5,6,2,3,45
4,5,7,6,14
6,7,8,1,33
7,1,5,9,30
6,10,6,1,2
7,6,7,6,1
8,4,8,3,42
10,8,5,3,31
3,8,5,5,11
4,0,3,10,45
10,0,5,6,38
9,3,10,0,37
1,7,10,3,30
0,9,3,8,49
7,1,10,4,2
8,10,1,10,14
10,3,4,7,22
5,10,1,0,40
10,4,0,3,3
7,8,6,5,49
10,2,6,10,14
3,5,8,0,3
10,0,0,9,33
9,7,6,9,30
0,6,6,3,42
8,4,9,7,46
4,8,6,7,21
5,3,7,10,19
8,4,3,6,11
1,4,6,9,37
0,6,3,4,33
2,5,0,0,26
1,9,0,7,23
5,2,0,6,39
4,3,3,7,26
2,3,8,8,19
4,5,2,3,39
9,2,5,9,0
10,7,3,10,22
10,3,7,5,40
10,2,5,3,26
1,4,9,8,38
3,10,4,5,41
4,4,7,3,16
7,8,10,2,15
6,8,8,43,41
