85,9,50
957,432,433,943,278,110,207,100,477
6,6,6,9,1,8,3,11,2,49
5,4,7,8,8,3,10,5,3,25
2,1,1,10,3,2,0,11,7,27
6,3,9,5,9,11,10,1,8,38
7,7,1,4,6,1,7,5,4,11
5,11,10,9,4,1,11,11,11,25
1,3,1,11,7,10,6,1,3,23
7,8,0,8,0,10,6,1,11,34
9,11,3,8,6,9,5,2,7,6
1,9,2,7,4,2,0,4,4,21
0,8,9,8,6,2,11,2,8,47
8,5,0,5,11,9,6,6,4,27
8,6,11,1,4,9,7,4,0,47
4,5,9,6,1,6,4,6,1,42
0,3,8,8,2,11,4,10,6,14
6,11,11,0,7,8,7,10,11,30
3,9,9,3,1,1,3,4,8,23
10,4,10,3,1,2,3,4,3,19
9,6,3,10,2,11,11,4,9,46
11,10,0,1,3,1,10,0,7,10
9,3,7,7,10,8,6,3,3,44
10,0,8,5,1,7,6,4,3,36
1,0,4,1,1,5,6,7,10,46
10,0,2,0,3,7,11,1,8,50
10,2,0,9,11,0,6,5,2,1
6,3,2,0,4,4,8,0,11,39
2,5,3,5,8,10,3,6,2,17
6,5,3,10,6,10,10,8,5,32
0,11,0,5,5,7,1,1,10,16
5,7,6,6,6,4,7,10,1,12
7,5,4,4,4,9,2,0,1,2
7,0,2,1,1,10,6,1,11,34
2,6,1,1,5,7,4,3,6,13
7,1,6,5,6,1,7,9,3,49
0,1,2,9,5,4,10,4,9,49
4,5,6,7,5,0,1,10,0,18
11,3,1,1,11,0,9,1,9,15
1,10,2,2,8,4,5,1,1,4
9,8,10,4,0,1,7,6,4,34
6,2,4,0,5,0,1,5,8,12
9,10,5,0,0,8,9,7,10,9
9,4,0,2,4,6,5,6,7,28
3,0,6,9,2,2,5,5,5,38
0,6,1,3,6,5,6,11,8,22
3,7,7,8,4,2,7,3,9,17
3,11,10,7,5,8,1,6,8,20
8,7,7,0,7,5,4,11,0,46
5,5,5,9,5,3,10,8,10,49
0,7,5,10,9,4,3,5,5,16
11,4,3,0,11,0,9,10,8,14
9,6,8,3,4,0,6,0,2,8
5,10,6,11,9,0,7,5,2,7
1,6,1,3,9,7,0,4,5,17
9,6,3,6,6,3,8,5,7,0
7,1,8,4,10,10,1,7,5,43
8,6,11,2,6,4,9,5,4,26
7,6,7,4,4,7,6,3,9,20
11,0,7,3,4,5,1,5,3,10
4,9,0,2,9,4,10,7,10,2
9,8,9,2,3,2,5,4,8,45
3,7,2,11,0,8,4,9,3,46
6,9,9,11,10,0,0,4,6,43
1,0,2,5,5,1,3,4,6,13
1,0,1,4,8,0,11,3,1,43
8,5,3,8,11,6,11,10,8,15
5,0,6,2,4,4,5,4,10,33
7,9,11,11,4,3,2,11,8,45
1,6,8,3,1,3,5,10,6,50
8,8,8,9,1,10,6,7,3,2
1,0,3,4,9,4,8,0,11,35
6,2,10,4,2,4,0,6,6,2
4,2,10,4,1,0,5,1,0,50
8,8,6,2,7,0,0,10,9,37
8,4,3,9,8,8,4,0,0,48
7,4,11,7,0,2,10,10,4,6
7,10,7,6,0,8,11,4,10,49
11,9,3,2,1,6,2,0,0,33
2,8,4,9,1,9,7,1,7,0
8,10,5,2,10,3,11,2,11,20
2,1,5,6,2,1,1,7,8,15
3,1,9,11,5,11,2,1,3,31
2,10,10,9,9,1,3,7,8,12
11,10,9,2,0,1,9,10,11,25
2,4,4,0,2,7,2,10,8,46
3,4,9,10,10,10,0,7,11,8
