55,4,50
899,92,919,290
18,10,8,5,22
4,17,9,3,46
2,18,2,6,29
0,5,1,17,0
16,0,16,8,0
10,7,17,13,45
1,6,11,12,27
1,6,4,11,50
2,7,15,9,39
3,15,5,8,15
4,2,12,17,45
9,1,13,4,8
6,8,13,12,34
16,10,8,14,37
6,16,13,2,33
14,8,2,13,36
13,9,15,11,3
11,0,14,18,6
16,15,11,3,28
18,8,16,16,38
13,18,7,6,41
14,13,0,4,10
16,17,13,9,34
11,1,18,13,21
3,6,14,16,27
3,15,4,5,6
17,6,15,18,38
13,16,14,10,50
14,9,16,18,6
14,1,1,17,43
3,17,5,16,50
11,2,12,8,41
0,8,18,8,37
1,3,11,13,37
7,17,8,10,36
2,13,17,16,4
2,9,18,8,34
13,4,9,11,45
6,8,3,5,35
16,3,9,14,49
11,16,8,6,38
16,9,1,17,9
18,17,0,8,2
2,14,16,8,17
2,7,5,6,34
14,14,4,1,27
1,6,4,5,6
16,5,9,11,27
6,10,2,18,5
7,12,14,10,46
6,7,9,12,21
5,10,5,9,38
7,14,18,16,15
3,10,12,2,47
5,0,14,133,12
