70,4,50
250,860,499,460
0,1,0,12,48
4,4,0,2,35
11,6,13,6,24
11,1,4,10,0
0,1,9,1,9
1,5,9,6,46
12,5,0,11,37
4,11,7,6,36
13,5,7,14,34
10,2,3,12,11
8,11,3,9,0
4,6,12,13,36
14,5,12,11,37
7,4,5,12,27
10,0,12,12,42
11,11,11,6,2
4,13,2,6,31
11,13,5,12,1
13,11,6,7,49
5,4,9,8,31
5,8,9,9,32
12,13,1,7,34
0,14,10,4,22
2,12,9,10,31
2,8,7,9,44
3,3,8,11,38
12,8,10,14,18
9,6,14,10,0
4,13,4,8,6
8,6,5,6,38
8,6,10,13,48
12,2,1,9,3
14,5,9,5,45
5,8,5,8,4
5,11,11,2,14
0,4,13,9,49
3,14,13,7,39
0,0,8,8,18
5,1,8,1,38
14,5,7,0,31
6,13,7,2,12
9,2,12,9,0
10,7,1,6,30
10,1,0,3,44
5,2,4,10,28
11,11,4,0,10
9,12,1,1,37
7,4,5,1,45
10,13,0,5,48
1,6,9,13,19
13,13,6,5,23
5,7,11,11,39
4,4,3,13,23
7,1,14,9,44
2,13,4,12,4
7,6,13,5,40
4,6,2,5,40
5,10,14,12,17
7,6,11,12,31
11,13,0,12,4
6,7,12,5,28
11,4,6,13,44
14,11,10,1,0
4,13,10,4,46
4,12,1,12,16
13,6,6,0,26
3,5,12,13,29
2,9,1,6,2
10,8,6,2,44
4,3,9,72,47
