50,6,50
304,768,724,288,420,969
5,20,2,6,15,1,49
7,8,19,12,11,17,36
20,17,4,17,1,20,24
9,14,20,7,8,10,1
2,4,11,7,15,13,28
14,13,16,10,3,20,3
11,1,4,11,13,11,10
10,13,18,0,3,14,30
16,11,20,17,8,16,17
13,5,0,4,3,7,26
4,7,9,7,12,4,29
6,12,20,4,6,10,32
5,18,3,4,13,18,4
13,2,10,12,10,11,30
15,7,5,2,12,6,17
12,13,3,1,15,13,25
8,3,20,15,5,18,26
15,16,2,11,3,11,47
7,0,9,7,13,2,50
2,1,19,18,0,12,40
8,5,4,19,3,10,42
12,0,9,20,15,0,1
9,7,11,13,13,11,31
8,13,16,1,19,11,46
11,6,12,14,16,16,15
2,16,18,12,9,3,3
3,5,0,0,11,16,12
18,13,0,8,17,9,48
4,12,20,12,11,6,41
16,6,3,3,10,1,12
5,4,10,16,18,18,8
16,5,13,19,20,19,21
19,11,11,18,5,2,36
7,4,18,9,19,18,6
1,12,15,12,4,4,36
10,4,15,17,2,20,34
14,3,9,13,11,6,33
18,8,8,12,7,16,8
4,8,20,1,0,7,4
20,2,7,18,5,5,22
20,17,4,8,9,11,3
3,19,14,13,5,4,17
6,14,3,8,13,17,3
19,10,14,11,16,9,44
4,15,11,4,4,13,17
10,12,2,6,1,8,5
11,7,14,2,15,14,11
1,9,1,8,2,12,36
14,6,3,17,9,17,48
10,1,13,4,8,532,15
