55,3,50
231,288,704
18,7,6,13
13,5,1,44
17,10,5,44
16,3,1,20
8,18,3,6
10,16,9,1
11,7,1,23
2,13,10,23
15,11,8,23
18,3,18,6
11,13,7,10
3,5,16,48
14,11,6,40
12,17,15,42
2,0,17,15
11,11,5,44
9,15,1,21
15,9,16,4
8,10,4,25
7,9,12,12
4,17,1,20
10,1,5,7
8,18,11,5
16,11,10,33
10,5,3,35
5,17,13,30
16,5,2,30
10,18,1,18
9,8,18,33
11,18,9,50
12,1,9,29
13,10,14,43
11,3,10,31
3,6,5,44
4,14,12,0
8,3,16,44
10,13,9,48
13,0,5,18
5,10,16,4
13,10,8,1
3,6,8,31
18,9,14,33
9,8,15,49
17,3,11,15
12,15,18,42
10,7,1,10
18,3,5,10
17,15,0,8
3,13,1,48
9,13,6,32
13,6,2,20
4,2,14,31
15,3,14,7
12,18,8,47
9,9,14,36
