85,5,50
425,82,412,170,863
7,11,11,11,7,13
4,8,6,10,3,32
9,1,1,2,7,34
4,0,11,4,2,37
0,5,3,9,7,28
0,5,6,11,0,0
7,2,7,5,2,9
5,6,7,4,8,22
8,8,5,10,10,42
5,5,2,9,6,0
6,1,11,4,5,40
8,0,7,4,11,37
4,1,0,2,4,21
10,3,3,9,10,10
2,1,3,3,5,36
0,7,10,6,2,47
10,11,0,11,3,23
11,11,2,7,1,19
6,7,7,0,5,4
7,2,1,10,11,32
1,8,10,5,5,42
10,8,11,7,0,18
8,7,4,3,2,26
4,4,11,8,6,38
2,7,11,3,5,47
11,1,2,11,7,35
6,9,6,0,11,35
11,4,8,8,9,31
7,11,4,6,10,6
0,2,6,5,3,39
4,2,4,10,1,7
9,7,9,7,4,37
2,4,2,3,9,36
7,7,1,8,6,21
3,10,4,4,10,25
7,3,4,6,5,38
8,3,0,11,5,24
0,5,0,5,0,11
5,5,5,6,4,14
1,0,2,8,3,2
0,1,2,4,3,40
10,10,5,4,9,17
8,5,7,7,5,13
9,8,6,6,8,16
4,8,6,4,3,40
4,4,10,3,0,16
11,9,9,6,2,2
8,5,9,4,5,30
9,11,7,11,11,32
8,11,9,3,5,5
6,1,0,7,6,22
10,11,11,8,8,11
5,1,0,11,8,37
5,10,0,8,4,49
8,6,8,9,3,4
5,1,7,0,2,18
10,3,0,5,7,33
3,0,0,4,6,5
1,5,8,4,10,31
0,4,1,10,1,29
6,4,6,3,10,28
0,5,1,5,5,38
6,2,3,11,5,42
9,0,1,10,2,25
3,3,4,6,5,30
2,0,2,6,1,21
11,4,11,1,10,49
10,8,10,0,7,0
3,2,2,8,6,5
9,9,3,5,0,0
10,2,4,5,8,3
6,9,10,9,1,4
11,3,6,6,6,2
9,3,10,0,5,39
5,6,8,0,3,39
7,11,11,1,6,30
2,8,0,0,3,13
10,9,11,6,10,5
3,5,2,0,6,43
5,9,6,4,1,38
1,5,5,2,1,38
1,10,9,8,4,23
3,8,5,9,6,10
2,8,11,11,8,22
3,6,7,3,6,43
