100,6,50
192,833,698,938,46,700
5,4,6,10,1,10,5
6,9,10,5,6,5,8
3,0,7,4,4,4,5
4,2,3,3,0,1,21
3,7,6,6,9,4,30
0,0,10,5,6,0,50
2,6,4,6,10,8,16
9,5,4,8,9,9,23
1,1,5,3,2,1,41
6,3,2,3,3,2,36
6,6,1,10,7,9,34
0,0,0,8,3,9,26
9,9,8,7,3,1,1
5,0,2,1,5,8,37
5,0,9,0,3,8,26
4,7,9,1,4,10,31
0,9,1,2,2,7,43
5,5,5,8,2,10,22
0,0,3,9,4,0,22
9,7,10,9,5,10,31
5,8,3,4,5,6,22
2,1,5,7,3,3,30
1,1,0,4,0,7,23
1,3,10,1,3,1,33
1,10,1,2,9,5,43
2,1,3,0,4,5,17
5,6,1,1,10,10,21
9,9,5,1,6,6,17
7,4,4,0,1,9,42
10,8,6,3,4,0,18
4,5,9,2,3,9,35
4,9,4,6,8,0,17
9,0,5,3,3,10,4
6,9,7,2,1,5,2
10,4,0,8,10,8,15
7,8,1,4,1,5,44
3,2,2,7,8,2,5
5,6,5,0,7,3,34
3,7,10,1,4,3,18
6,6,8,9,3,7,3
0,10,5,8,6,5,47
0,3,0,1,6,1,16
3,1,7,4,9,5,21
9,9,6,8,3,9,49
4,6,9,1,6,5,38
7,7,5,6,6,8,17
3,8,8,6,9,2,40
0,4,9,1,6,9,48
4,4,5,10,7,7,34
7,8,7,6,3,0,7
9,3,1,0,9,2,19
7,10,1,2,3,6,14
3,4,2,10,1,4,34
8,8,8,1,10,2,30
8,9,7,9,1,0,38
8,10,5,3,8,1,12
10,3,7,8,6,6,31
1,5,5,2,3,10,5
8,7,0,4,2,6,28
4,9,6,2,9,7,4
10,8,8,5,7,5,2
0,5,0,9,2,1,47
6,0,7,2,2,6,12
8,7,0,3,0,5,26
5,9,1,1,6,5,0
9,9,8,10,1,3,37
3,7,0,8,6,9,21
1,7,6,8,7,3,31
0,2,4,7,9,7,47
8,10,2,0,10,10,27
9,6,2,5,10,8,13
8,10,10,9,7,4,2
7,8,6,1,3,7,12
4,8,6,0,8,7,0
3,0,6,9,3,0,33
7,10,1,2,5,9,25
4,4,0,7,2,4,25
1,7,4,0,10,8,38
6,8,7,7,6,5,41
1,10,2,7,3,2,39
5,7,0,6,2,3,24
8,3,8,3,4,7,40
7,2,7,2,7,9,5
6,10,6,1,8,8,7
0,5,10,0,4,3,47
10,7,3,3,5,3,30
4,10,1,6,6,1,12
2,3,0,1,4,7,14
7,5,2,7,6,3,19
0,8,0,3,5,8,23
8,8,7,10,3,7,49
1,1,0,0,7,3,40
6,7,1,1,0,10,40
8,2,6,2,4,3,45
1,9,2,4,2,4,25
3,2,8,6,9,5,40
1,7,5,3,3,1,20
0,2,5,6,7,3,49
7,10,3,1,7,9,49
6,10,5,1,0,463,33
