45,3,50
898,568,871
18,9,14,15
15,10,11,48
0,5,20,7
17,7,14,19
1,7,13,47
21,7,0,34
20,9,16,2
3,12,22,12
19,0,11,2
21,18,12,33
17,0,15,45
3,7,15,40
3,13,5,25
15,16,19,42
9,8,4,32
10,21,13,25
21,11,8,46
3,10,10,31
9,2,10,49
22,20,10,19
22,11,20,6
10,0,22,14
7,12,2,50
8,15,7,43
3,5,15,19
18,21,15,8
22,22,1,32
7,6,15,44
1,8,17,45
7,16,6,33
15,17,19,15
15,0,3,25
5,21,15,40
3,9,22,13
19,21,16,47
20,10,21,24
14,14,6,16
10,10,15,8
14,14,16,27
2,15,14,38
19,7,16,39
4,5,13,44
21,3,2,39
1,1,2,28
20,14,792,9
