50,4,50
145,572,405,876
16,6,2,17,34
7,7,7,4,10
5,10,14,2,31
2,8,11,18,41
1,2,11,6,37
0,14,8,0,48
12,14,0,6,42
11,15,11,19,40
1,19,6,1,44
8,12,15,4,49
12,7,13,9,6
3,20,2,1,39
13,20,20,17,20
12,12,16,19,28
2,12,9,16,5
14,19,7,18,30
2,17,4,6,38
2,0,1,17,26
2,0,12,0,50
11,7,8,6,10
19,12,11,1,11
13,9,18,9,10
13,19,2,3,48
16,4,10,20,23
16,8,10,17,34
19,10,15,17,34
1,6,18,19,48
19,0,7,18,38
20,14,5,14,49
19,14,5,6,37
11,13,2,13,6
1,5,2,2,15
11,3,12,6,8
6,17,7,11,36
15,19,1,15,50
20,6,10,0,26
2,18,3,0,37
3,1,3,2,16
0,1,14,15,13
4,19,11,6,29
19,19,11,18,8
0,12,8,1,26
7,13,13,15,50
15,10,7,11,11
12,9,2,11,3
7,14,12,14,16
19,0,10,15,25
15,7,19,10,33
6,4,17,6,42
19,8,12,65,36
