45,4,50
676,399,862,566
1,18,15,13,37
0,15,11,15,4
19,15,9,13,16
1,19,18,12,28
8,5,14,0,7
0,14,20,9,20
6,6,2,21,26
14,13,11,7,4
7,4,2,14,33
8,17,16,16,42
14,14,16,6,10
13,7,15,10,23
18,19,6,1,49
9,5,17,1,10
1,11,1,3,32
3,21,7,15,0
8,16,15,4,30
15,18,7,9,32
7,5,0,22,5
11,20,8,20,15
7,6,12,15,17
10,6,1,7,9
16,1,5,13,11
8,9,13,6,43
6,11,13,6,38
7,6,17,15,34
8,14,20,3,8
20,15,20,2,7
5,12,0,21,38
21,11,15,10,43
21,11,16,8,43
17,22,5,14,0
0,16,19,15,9
20,3,10,3,50
5,12,3,3,33
19,19,14,18,47
19,4,6,0,9
6,20,2,19,18
6,6,12,13,1
2,17,21,3,13
3,5,13,4,44
1,16,7,22,24
3,22,15,11,20
9,2,7,8,33
9,10,2,626,49
