55,14,50
139,868,285,472,965,374,654,400,830,739,662,518,449,484
3,12,2,6,2,1,13,7,17,9,3,4,14,2,42
1,18,2,9,13,6,17,6,7,14,2,15,17,3,14
7,2,5,11,11,5,11,0,4,15,7,8,16,2,16
8,3,1,0,13,9,3,2,8,8,7,8,5,2,36
12,7,2,9,4,4,10,1,0,17,1,8,0,0,27
14,2,17,9,8,2,1,12,2,16,11,15,14,18,44
5,8,0,14,11,13,16,6,11,5,10,1,11,5,32
5,7,9,0,14,11,16,12,0,4,1,4,17,6,19
18,2,13,18,5,11,17,3,9,17,18,17,12,2,35
5,4,0,7,12,16,5,3,14,0,3,8,13,17,3
12,18,7,12,14,14,5,6,1,9,0,11,5,9,13
15,2,5,6,4,4,11,14,16,11,1,12,2,11,10
4,11,5,18,7,2,15,2,1,1,7,15,4,4,16
10,11,4,18,2,6,2,7,9,5,12,14,1,11,10
2,5,2,5,1,3,3,12,18,10,4,7,7,8,20
14,6,14,5,16,18,6,7,2,6,18,8,6,18,30
8,4,10,3,12,13,5,2,6,6,15,2,6,17,39
15,11,3,13,6,13,2,14,5,14,4,11,13,6,39
15,16,1,5,6,18,12,11,0,17,4,1,5,10,15
11,0,17,0,6,2,11,6,8,14,4,4,1,13,39
8,11,10,2,7,17,13,0,1,11,3,15,1,14,38
8,16,15,14,13,8,0,15,2,13,12,1,7,18,27
0,15,10,14,13,2,16,7,7,17,3,18,8,7,38
9,9,7,0,8,11,18,4,2,13,11,5,2,4,30
15,3,1,17,13,3,3,8,18,13,13,4,8,17,7
7,13,9,1,15,16,5,17,18,9,17,14,16,10,1
4,0,3,14,1,7,18,12,13,6,18,6,16,17,34
18,4,2,16,13,7,11,4,5,11,2,13,1,9,37
14,13,11,1,8,16,12,10,7,5,4,16,11,11,30
6,5,17,10,18,15,16,4,4,18,13,9,15,14,10
2,18,16,5,17,4,8,5,18,17,0,15,9,10,22
15,0,10,3,14,0,14,3,11,17,14,5,12,13,43
8,14,2,0,15,3,0,17,7,12,9,3,10,2,46
14,13,8,0,7,16,17,11,2,17,3,4,7,3,49
18,7,5,6,12,3,5,9,9,17,3,13,9,5,18
5,12,3,7,4,16,15,15,6,0,14,13,7,17,22
16,4,1,1,2,18,18,10,12,0,14,14,0,5,36
7,14,2,14,12,4,8,4,12,0,4,11,0,11,7
16,15,9,3,18,9,0,17,13,18,5,10,0,13,39
10,8,5,12,14,3,18,15,6,5,11,0,18,17,50
1,17,3,4,18,2,16,2,13,18,13,3,12,15,40
7,10,9,11,4,4,15,14,2,10,5,14,9,13,48
4,17,8,11,15,8,13,6,12,7,0,8,1,16,21
14,13,4,3,8,12,2,14,10,1,0,17,16,7,41
4,13,4,1,13,0,11,1,12,13,1,7,10,0,33
14,15,1,13,11,12,8,9,14,7,0,3,14,2,1
16,2,3,13,6,12,18,2,17,16,7,10,6,14,8
8,5,3,7,17,0,7,5,0,12,7,5,1,5,35
10,3,4,18,4,13,4,2,7,18,8,17,16,16,0
9,7,15,4,4,8,13,17,16,5,17,0,18,7,42
14,15,6,1,9,6,11,13,0,15,18,13,3,1,38
10,2,10,18,8,4,2,10,17,11,4,9,15,18,27
6,11,14,15,7,8,12,9,0,9,4,7,7,18,26
16,13,16,1,1,14,7,12,15,2,5,3,5,0,38
0,9,9,17,18,3,11,10,17,5,11,12,18,1113,27
