50,3,50
836,695,514
20,2,8,18
0,6,4,42
14,10,7,1
13,3,18,32
14,11,2,33
12,6,16,3
17,18,15,4
12,15,10,17
7,4,14,33
0,17,6,15
1,15,15,46
12,17,3,45
2,2,11,17
12,8,11,5
17,19,15,9
11,2,11,27
16,8,4,37
7,14,7,6
7,19,13,40
5,10,18,13
3,0,11,30
18,20,10,2
1,12,1,24
19,15,4,37
16,14,20,42
15,0,13,20
19,2,1,42
14,3,19,29
11,5,7,35
13,20,5,37
0,12,10,48
1,9,1,37
11,5,4,12
5,3,4,31
4,15,4,17
20,13,1,34
12,1,9,26
16,2,6,41
18,10,3,10
0,1,16,15
0,10,5,23
19,20,11,8
15,11,0,39
11,15,11,36
12,11,3,7
18,18,18,20
15,13,17,2
2,14,1,26
11,2,14,32
2,0,606,18
