90,4,50
235,54,237,967
6,4,3,0,28
3,4,9,4,28
5,8,9,1,37
1,10,7,1,48
3,2,4,4,28
7,7,8,7,40
3,10,9,7,31
9,3,5,9,1
10,9,10,2,17
7,9,8,9,36
8,7,2,7,32
9,5,9,6,33
7,1,3,5,50
2,3,10,3,46
7,4,0,8,30
8,3,10,3,32
3,6,10,10,30
0,6,3,9,48
11,6,2,0,24
11,7,7,8,33
0,9,2,7,27
4,9,10,8,3
4,0,0,1,34
3,0,5,8,42
6,7,1,6,45
5,11,10,2,4
1,1,4,7,3
1,8,1,3,31
6,6,8,0,30
8,10,5,3,49
6,4,8,7,49
1,5,4,7,50
5,9,5,2,34
9,8,0,10,39
7,11,11,7,33
8,11,9,11,10
11,10,1,10,22
8,10,8,1,48
9,5,2,7,46
9,1,10,1,25
1,1,0,2,45
10,2,9,9,17
8,0,6,10,24
2,7,6,5,50
0,3,2,9,3
3,0,1,5,33
1,6,0,8,27
4,6,2,9,10
6,3,0,6,22
11,1,8,5,29
9,7,5,0,21
1,11,2,3,41
5,5,11,1,5
5,11,2,9,41
3,4,6,9,27
1,1,3,1,24
3,0,7,8,48
2,7,10,6,42
2,1,6,6,15
10,7,9,8,12
2,9,11,1,12
5,3,9,5,1
6,4,6,5,6
7,4,10,0,39
0,1,8,9,23
6,7,1,6,17
4,8,9,7,33
3,0,4,6,24
8,2,4,9,32
6,4,7,11,14
7,0,1,9,18
2,7,11,10,19
6,2,5,0,10
10,8,2,6,19
9,9,0,1,4
9,0,8,3,32
0,7,9,1,30
7,3,5,0,40
2,2,11,9,22
7,1,8,0,1
2,7,11,6,47
9,1,11,3,16
7,3,3,5,35
11,0,8,0,34
5,11,2,8,36
1,11,10,2,31
6,3,2,3,15
3,8,4,4,16
2,6,9,4,44
0,4,9,10,21
