55,4,50
413,509,801,29
15,6,6,6,23
17,1,11,14,22
0,1,4,2,40
3,6,11,13,8
17,17,18,1,42
9,7,18,11,2
16,15,11,10,26
17,16,9,18,11
1,3,11,2,26
5,13,5,8,47
10,17,9,4,4
17,6,10,16,14
2,8,2,9,39
7,15,6,3,45
9,1,14,7,42
2,6,5,3,26
12,9,8,1,36
3,17,11,3,6
12,3,14,6,20
0,10,11,4,14
17,17,3,14,6
11,14,15,3,31
13,5,8,14,42
13,2,14,10,50
3,6,12,14,10
17,14,17,7,39
10,10,9,16,6
11,9,11,0,35
10,0,17,4,34
13,9,7,1,14
11,8,13,15,15
2,15,14,12,41
6,3,4,14,12
15,15,10,17,1
2,9,2,10,39
10,14,10,6,28
7,3,10,12,30
9,14,16,11,25
8,3,5,8,5
1,7,2,13,33
1,17,14,15,41
10,9,13,8,1
8,8,17,9,1
8,6,5,2,25
2,9,0,4,46
2,1,10,13,48
6,8,17,7,36
11,9,4,4,26
13,3,13,3,39
0,1,3,17,4
2,10,7,5,32
0,1,0,8,13
1,18,16,1,14
18,1,8,13,34
9,12,18,17,44
