45,6,50
675,575,778,52,978,874
5,0,17,13,14,16,13
15,18,21,1,5,13,6
9,4,15,13,7,6,44
1,9,10,14,9,19,2
4,11,9,15,10,7,16
9,1,14,20,16,13,6
13,19,1,3,12,0,45
12,7,22,7,11,19,9
17,17,12,11,4,4,28
1,21,16,21,5,2,19
2,6,21,18,4,8,6
5,1,12,2,2,12,5
12,15,19,22,6,11,12
11,15,13,10,21,6,21
12,15,15,0,18,18,37
14,16,0,11,11,16,27
15,11,14,12,14,1,5
0,20,20,5,11,0,42
18,10,7,16,3,21,26
4,10,7,1,21,1,37
20,5,1,5,11,12,20
1,15,0,1,12,0,41
5,19,10,6,2,16,23
9,22,8,17,20,6,15
1,21,5,7,17,9,39
13,11,20,12,0,21,11
20,12,15,4,22,18,44
4,0,17,15,4,13,34
18,10,5,1,14,22,7
6,14,8,18,0,3,3
4,5,9,19,20,11,19
7,21,14,10,16,12,7
10,3,19,14,15,1,16
6,22,5,19,17,17,12
9,1,7,13,9,0,18
14,4,10,19,20,13,34
5,12,2,5,14,1,44
3,9,3,21,18,9,0
10,22,11,1,6,17,12
5,19,13,17,0,20,22
2,10,13,20,2,17,15
4,18,2,1,13,18,34
12,14,11,20,6,21,19
5,22,11,11,1,12,24
4,20,2,22,3,1052,34
