55,5,50
545,851,176,664,546
8,18,16,16,5,3
7,14,6,8,4,16
17,1,8,0,10,40
8,7,2,16,17,46
16,6,0,7,8,32
6,10,15,2,3,41
0,5,9,4,17,44
7,6,6,18,14,41
5,11,10,15,5,47
6,10,14,5,5,48
1,4,10,2,2,3
12,8,7,2,16,20
12,13,11,11,8,40
3,0,14,6,12,17
16,15,6,3,4,42
4,16,4,18,3,28
7,8,15,9,17,17
13,4,1,2,14,46
14,9,1,17,9,18
16,7,10,1,6,20
0,17,10,3,8,32
7,8,16,15,5,39
12,5,17,14,3,46
18,7,15,17,15,0
18,0,2,18,14,20
4,2,5,7,18,24
16,5,12,8,5,20
14,4,9,1,10,44
1,5,3,14,18,6
15,5,2,1,13,32
17,14,3,8,14,17
14,13,12,7,11,45
15,2,10,14,4,0
3,18,14,13,11,35
16,13,17,10,3,47
10,16,13,0,0,43
1,18,15,0,13,33
7,18,3,10,5,37
14,5,5,17,13,31
6,11,6,1,14,28
6,17,11,2,17,33
17,3,4,13,7,19
5,6,16,4,13,24
18,16,6,14,18,49
12,17,7,7,14,22
16,17,15,13,2,5
0,1,3,4,10,14
15,9,10,18,4,47
11,12,6,6,1,21
18,5,6,11,5,23
9,5,12,14,5,48
7,2,17,17,8,21
15,17,11,17,18,25
16,14,12,0,17,18
1,5,18,8,215,46
