50,3,50
145,932,184
17,13,15,42
12,15,7,3
4,8,20,16
2,16,5,1
1,13,12,29
6,14,7,29
15,13,17,22
7,18,1,31
0,18,1,44
19,11,14,14
17,10,10,45
16,12,8,16
7,13,19,40
10,20,17,24
16,14,13,34
6,18,10,47
14,3,0,48
2,1,6,18
0,7,20,15
6,15,20,26
14,11,2,21
1,20,5,18
18,6,20,3
7,4,0,14
6,14,13,20
10,6,5,20
17,2,1,41
8,5,2,44
7,9,9,9
17,3,9,14
10,7,3,20
18,20,3,34
3,8,18,17
2,13,16,24
2,1,1,19
16,6,1,33
14,16,0,30
0,3,14,45
11,3,15,43
9,9,19,8
17,1,16,31
5,20,15,10
9,5,3,39
5,2,19,10
14,7,16,45
16,13,12,12
10,14,9,39
17,0,15,15
19,16,5,20
1,7,0,10
