70,3,50
228,632,308
12,10,9,42
12,13,4,9
11,10,12,6
14,3,1,31
9,8,0,33
0,6,3,6
12,10,1,2
9,2,8,11
12,12,6,5
12,14,12,3
7,11,1,45
7,14,14,21
8,8,1,38
7,8,7,7
0,5,13,25
12,8,11,15
4,5,13,11
5,8,4,10
2,3,2,19
12,5,3,11
2,9,11,43
1,3,10,19
0,9,13,33
2,7,6,17
14,13,12,6
14,13,7,6
13,8,11,11
7,1,8,10
7,3,14,41
5,11,1,17
10,9,7,38
13,9,9,16
14,8,5,3
5,12,3,20
12,8,6,41
4,10,11,34
4,4,6,19
10,11,4,34
10,1,9,18
9,14,0,17
12,11,9,9
6,12,13,9
6,3,14,20
0,9,0,50
2,2,7,50
1,11,12,3
7,12,11,21
9,3,12,1
2,7,12,19
13,8,7,10
2,5,7,28
13,8,4,4
14,12,4,2
11,11,12,14
8,13,7,6
12,11,11,32
7,11,10,21
14,11,1,40
8,4,2,9
8,11,0,24
5,6,5,35
9,9,7,9
3,7,6,30
13,8,3,48
3,12,10,19
11,13,4,17
13,6,1,27
10,3,3,15
2,6,5,21
4,0,11,35
