35,6,50
138,143,157,151,523,571
22,18,15,20,10,27,29
20,10,23,15,12,8,37
0,25,12,27,25,27,20
14,6,15,15,15,27,36
20,3,10,1,16,28,30
17,6,21,1,15,15,44
16,7,25,4,27,1,13
14,1,21,8,28,27,32
0,15,14,6,6,14,43
9,6,3,14,10,22,30
28,18,28,24,21,11,50
3,12,9,15,27,24,23
27,24,19,6,15,5,46
18,11,8,4,10,15,27
4,14,28,9,19,14,46
1,6,21,7,22,5,4
21,13,18,9,13,26,7
8,28,5,0,16,25,7
2,16,3,23,28,19,9
15,4,21,15,11,13,36
14,7,8,16,13,1,6
12,28,14,23,6,5,13
24,17,8,8,23,3,18
3,26,17,22,28,21,3
1,18,7,24,14,6,35
7,0,6,28,27,5,35
22,22,17,5,5,12,21
25,12,15,20,27,5,47
1,5,25,24,23,21,45
0,25,27,8,13,18,29
27,4,27,25,28,17,18
14,9,26,23,19,9,34
0,17,12,14,14,14,20
1,28,15,28,10,7,32
23,23,6,22,1,10,18
