60,3,50
560,159,250
4,4,0,43
13,12,3,19
4,12,5,41
15,11,5,44
7,16,9,47
8,7,3,25
4,1,5,2
11,8,16,5
12,15,15,21
6,3,15,24
9,10,15,18
0,13,9,27
5,7,9,8
16,6,10,18
3,5,10,19
6,7,5,40
2,15,2,37
9,10,0,11
6,0,2,38
2,5,10,42
6,15,7,8
7,14,7,47
15,16,15,30
9,14,0,19
10,9,8,14
13,3,16,25
2,0,12,35
2,3,16,35
12,13,10,26
8,1,11,43
14,15,5,43
13,15,8,42
16,10,10,13
7,15,15,11
7,13,6,35
2,4,15,28
16,15,0,30
1,0,10,41
12,3,15,50
5,3,15,4
12,12,13,34
0,12,2,15
14,6,10,23
11,5,7,22
4,16,12,26
0,3,12,23
12,2,8,32
8,12,2,8
15,2,3,40
8,12,6,33
3,12,2,28
2,1,13,16
1,5,10,34
7,7,5,25
10,3,9,34
12,16,12,4
2,3,16,5
5,10,6,12
14,11,1,10
13,12,6,36
