80,3,50
677,56,846
2,6,10,48
11,6,2,6
6,4,11,39
0,8,12,39
6,2,1,8
6,3,3,31
4,4,8,48
12,0,12,26
9,4,9,36
1,6,3,5
2,2,10,6
8,12,2,31
8,1,6,4
12,8,11,41
8,4,8,9
10,7,11,49
6,10,5,46
5,10,10,46
6,0,12,36
12,11,0,4
7,11,2,46
1,3,7,34
9,5,1,46
5,0,11,23
6,11,12,5
1,11,12,23
5,12,7,39
4,7,2,16
9,1,9,11
0,10,7,39
3,5,6,6
6,10,1,28
8,11,4,20
4,9,11,47
4,12,3,33
11,5,12,42
0,10,6,34
9,3,11,24
6,4,12,25
10,11,5,8
11,0,8,1
12,8,7,20
12,12,8,13
10,10,9,47
7,0,5,25
9,8,4,0
0,3,0,9
12,9,4,0
9,1,11,12
7,2,4,36
6,3,12,4
0,10,10,37
10,10,6,27
4,7,1,20
0,5,7,0
10,2,12,31
2,4,12,47
3,11,7,30
9,11,7,35
12,9,0,37
2,3,1,35
6,11,10,50
4,1,12,14
1,5,10,20
11,5,6,25
2,4,2,27
10,12,5,37
2,11,12,10
11,1,7,47
10,3,7,50
10,5,11,49
2,3,9,29
12,11,0,25
4,2,3,47
3,12,11,21
0,10,2,40
8,2,5,41
4,8,4,20
7,8,6,3
8,6,24,33
