100,6,50
487,626,847,386,883,376
8,9,8,9,1,0,13
6,0,7,1,4,8,4
6,2,5,4,5,10,2
7,9,7,0,5,0,9
3,9,10,4,7,0,18
6,2,2,3,5,3,2
6,4,1,0,0,7,2
8,0,4,1,6,8,44
2,1,6,3,1,3,50
5,0,1,1,5,2,30
8,3,4,8,7,10,26
0,4,8,9,3,8,18
7,8,0,8,2,6,46
6,5,8,0,10,8,29
5,8,8,2,5,2,50
8,2,2,3,8,10,32
10,6,5,0,1,2,41
6,10,1,10,0,9,49
6,1,7,4,2,2,18
8,1,0,4,9,7,9
9,7,8,6,4,9,25
6,7,10,1,0,7,16
4,7,7,6,6,3,41
10,0,10,7,10,2,25
3,1,8,3,0,0,5
4,1,1,5,8,9,4
5,0,0,3,0,10,8
0,1,1,8,4,5,44
9,5,7,2,5,5,50
5,8,8,7,6,3,25
3,5,2,10,10,10,6
5,1,4,7,7,1,17
9,2,2,7,0,5,8
1,2,3,4,9,1,26
6,8,4,1,2,10,44
1,7,3,7,10,9,30
1,1,7,5,9,5,49
5,9,2,9,9,8,44
10,6,7,2,0,8,32
1,0,1,0,10,7,33
2,3,7,1,9,10,30
7,10,3,6,8,9,20
10,4,8,0,0,4,17
3,9,5,8,10,3,46
9,10,1,6,5,6,45
9,5,5,2,6,1,21
1,10,10,3,6,7,26
3,8,6,5,10,10,46
0,7,9,0,5,8,49
8,5,0,4,5,0,29
1,3,0,8,6,8,2
1,5,10,9,4,9,9
8,6,1,1,2,7,39
5,9,6,2,5,7,10
5,1,7,2,2,10,35
6,0,10,1,6,1,9
1,1,2,2,8,5,48
2,4,7,8,0,7,5
0,7,4,10,2,8,44
4,4,9,2,5,1,37
0,10,8,6,4,2,29
3,2,8,5,4,8,41
2,8,2,10,2,2,44
9,1,6,7,1,6,34
6,8,9,8,10,5,0
9,10,3,0,10,6,0
3,2,8,1,3,10,26
2,7,10,5,10,7,42
5,0,3,4,5,2,26
3,6,2,6,5,8,8
10,4,9,3,6,0,49
7,1,7,3,5,3,20
0,4,4,6,1,5,5
10,4,0,4,9,3,23
2,6,8,9,1,6,13
10,0,3,6,7,4,26
1,0,0,0,5,5,48
5,9,6,10,5,2,30
8,0,6,5,7,6,36
7,2,10,0,8,4,16
3,4,3,10,4,5,33
8,10,2,9,0,1,27
2,6,5,4,5,6,6
3,1,5,4,2,0,38
8,6,3,0,8,7,48
6,7,8,9,8,9,22
4,8,7,8,10,0,12
1,1,4,3,9,10,13
2,3,10,10,3,9,13
0,3,6,3,9,0,31
5,5,8,8,8,4,8
4,8,9,7,2,3,10
9,5,1,3,7,4,10
5,7,4,2,7,10,9
10,9,5,6,3,4,16
9,0,9,2,2,5,2
4,9,4,10,7,1,16
4,2,2,0,10,1,15
6,9,3,7,5,2,17
8,10,3,0,2,624,35
