65,4,50
997,30,662,119
6,15,9,9,17
11,9,1,6,18
9,10,9,9,39
7,3,13,4,33
10,4,5,6,42
7,13,12,8,28
7,4,3,0,20
8,12,6,7,15
9,14,1,15,27
10,11,8,0,42
7,1,15,6,7
13,3,11,5,39
4,9,15,0,2
11,2,6,12,43
14,10,0,3,19
14,3,13,2,35
3,13,15,6,37
3,6,13,7,28
3,3,9,11,35
14,11,9,15,28
6,10,7,4,10
3,15,13,15,18
12,14,4,3,14
6,5,3,2,38
10,7,0,10,28
11,5,6,6,39
13,0,3,4,39
3,9,9,6,38
0,6,2,2,45
8,12,9,7,44
11,4,6,13,41
14,13,0,3,35
10,12,2,12,6
13,12,14,11,32
7,15,14,14,16
12,15,3,1,50
7,0,10,12,21
5,4,7,12,39
9,4,1,2,27
7,5,13,8,15
1,1,10,2,42
6,15,4,9,39
10,8,14,11,35
12,4,4,11,15
4,12,14,10,44
10,7,8,11,13
6,7,3,4,3
5,0,9,6,3
1,13,15,4,20
10,8,12,7,8
1,8,13,2,31
10,3,12,5,24
3,5,13,6,35
11,8,2,4,8
9,14,15,12,19
4,1,5,7,40
1,13,13,0,38
14,5,12,14,14
12,1,6,13,35
1,10,15,2,30
5,10,15,1,38
2,15,14,12,38
11,12,12,7,41
14,1,7,8,2
12,1,3,8,7
