75,6,50
294,733,717,415,311,842
1,2,7,8,2,8,23
7,2,4,5,13,7,0
6,11,7,9,8,9,0
11,4,11,11,5,3,25
6,3,10,4,9,4,0
9,12,2,2,12,2,50
0,1,10,1,4,3,48
6,0,11,7,0,9,10
0,3,13,9,9,12,34
6,12,1,10,12,1,21
0,9,4,10,7,4,50
6,3,10,5,5,9,46
13,13,4,2,5,2,12
6,5,4,9,10,9,23
0,3,10,0,4,4,22
6,11,13,7,10,2,38
7,3,0,4,9,6,33
13,6,8,1,11,11,22
12,10,1,12,6,11,30
1,13,4,11,3,12,25
10,11,7,8,4,8,45
7,7,11,5,4,6,49
6,3,2,8,11,7,4
5,0,2,5,11,7,20
3,13,5,6,7,11,10
12,8,12,10,13,8,19
9,4,10,1,10,10,30
3,0,4,5,5,8,17
9,2,2,10,9,13,30
0,2,8,9,10,5,26
4,12,7,13,3,3,6
11,3,4,11,7,0,30
8,11,11,0,4,7,18
5,8,6,8,6,10,24
5,7,8,9,11,6,17
3,5,7,12,9,9,17
5,7,3,6,0,9,30
11,3,5,11,12,10,50
2,10,5,5,5,4,46
2,2,3,0,6,7,13
3,0,2,0,4,0,29
10,0,7,3,7,1,49
1,0,9,8,13,4,27
3,12,7,5,7,3,42
1,11,13,13,3,0,22
11,2,12,5,13,0,38
2,6,1,9,12,7,9
5,5,13,0,8,1,20
9,6,13,12,13,0,31
0,7,10,13,7,12,26
5,5,7,13,2,3,50
10,5,13,12,7,7,0
7,13,8,10,9,13,25
6,5,7,8,3,10,19
3,2,5,12,6,3,48
1,5,10,6,10,8,39
3,5,8,6,6,5,24
13,13,12,8,2,12,49
8,9,11,13,13,9,50
5,5,1,1,5,11,28
12,12,4,2,2,2,12
9,9,13,1,9,0,44
5,3,2,5,0,3,42
11,11,12,8,12,0,15
5,9,2,2,7,2,41
9,8,12,12,10,1,41
5,6,5,6,1,13,41
10,1,9,7,2,3,46
0,7,11,12,10,7,24
2,8,1,8,10,3,24
0,4,8,6,4,1,31
7,3,4,4,9,7,9
8,12,1,7,1,1,0
10,13,11,11,2,6,28
8,5,1,8,0,398,5
