70,3,50
2,249,772
4,7,2,28
13,11,6,45
7,2,5,10
4,13,1,18
0,13,4,5
6,8,6,23
5,2,10,8
0,4,4,42
7,3,9,30
12,9,11,14
11,6,9,49
0,7,0,17
10,8,3,44
12,5,5,17
7,12,3,31
14,4,7,48
2,3,12,25
6,2,4,46
9,14,9,31
4,1,11,11
3,5,7,40
0,12,4,26
14,10,11,50
5,6,14,40
1,7,13,18
6,14,12,0
14,7,10,42
7,11,1,46
6,2,7,38
9,7,12,9
8,5,8,0
3,13,14,0
1,2,3,47
0,8,14,39
3,8,10,26
0,3,4,13
4,2,14,19
14,9,5,27
5,6,8,34
5,7,14,9
1,11,5,35
10,5,4,17
6,12,5,36
8,14,1,5
12,4,13,26
14,4,14,8
14,8,12,36
1,7,9,17
14,12,1,14
10,7,11,39
3,12,13,13
8,10,9,34
4,5,9,8
7,10,5,33
10,5,9,24
12,2,13,24
13,7,5,32
2,14,1,33
13,4,6,30
4,1,6,10
4,9,2,3
2,14,8,25
8,0,0,2
7,12,3,28
6,12,0,40
7,11,13,47
0,14,2,23
8,14,10,19
11,0,8,33
6,12,11,9
