50,3,50
5,416,34
9,0,5,9
0,1,2,38
12,7,2,47
10,1,13,26
14,0,17,22
9,19,10,16
1,13,2,22
4,8,4,21
8,15,0,32
12,16,14,21
7,17,13,22
19,5,18,22
2,7,8,28
3,0,18,27
8,9,8,21
13,17,10,39
16,17,1,19
5,5,1,12
11,12,2,36
16,10,1,25
12,19,9,2
20,1,16,48
13,8,15,17
15,19,4,25
2,2,10,3
11,2,1,33
5,1,17,13
8,19,5,33
10,8,16,41
16,13,8,16
14,5,20,35
17,7,3,12
12,14,18,18
4,15,18,11
5,18,17,27
12,1,12,9
9,14,1,39
13,2,18,34
11,14,16,24
7,19,13,20
14,6,20,23
20,1,9,45
15,11,19,2
0,5,6,5
12,5,8,46
5,19,7,14
2,16,12,11
5,18,0,6
19,13,12,29
19,19,10,14
