100,6,50
658,878,8,507,581,165
2,7,6,5,0,8,42
10,7,7,3,10,0,30
8,1,2,1,10,5,19
2,9,6,10,3,1,50
3,5,3,8,6,4,8
6,2,9,3,6,1,15
10,2,9,9,8,0,41
0,5,9,8,3,3,27
5,3,4,0,8,1,36
7,10,9,5,4,6,7
3,8,3,6,8,10,42
0,3,6,8,9,7,48
0,7,5,6,1,8,33
1,3,1,8,10,1,21
4,5,7,3,8,1,15
2,8,5,7,7,0,40
3,7,8,3,1,2,49
10,5,8,0,10,8,39
5,6,6,2,2,8,29
9,9,2,8,8,0,2
4,0,2,4,2,0,31
4,2,9,10,10,2,26
2,1,2,5,3,2,29
8,10,8,8,3,1,40
3,3,6,2,3,9,24
6,0,0,5,4,3,35
9,7,9,0,2,9,48
5,10,9,6,2,3,6
8,5,8,8,1,2,24
7,6,4,10,7,0,24
3,9,7,1,9,8,7
7,10,7,2,10,6,10
7,4,0,5,0,10,17
1,10,3,7,7,1,46
3,5,0,8,0,8,13
8,3,4,2,4,8,27
0,3,8,8,10,0,19
4,10,6,1,8,5,8
1,10,3,3,8,6,28
0,5,9,8,4,3,26
4,7,9,2,2,9,4
2,6,7,3,3,7,2
5,10,3,8,7,6,24
8,7,8,0,0,8,20
1,3,2,3,9,5,24
3,10,7,8,4,2,39
1,9,0,3,10,9,50
2,4,8,9,8,4,22
4,1,8,2,2,3,49
2,4,0,7,6,5,22
1,10,5,10,2,2,11
8,0,9,0,4,10,33
10,10,0,2,1,4,18
6,5,1,10,5,0,26
5,9,5,3,3,0,7
9,7,1,5,2,5,43
3,7,4,1,2,8,11
4,5,1,9,9,4,27
1,5,7,8,9,3,9
5,1,7,1,8,4,21
7,1,5,7,4,9,27
9,9,5,3,7,10,22
8,5,0,10,5,10,5
1,2,9,4,7,1,43
1,4,7,5,2,4,4
7,1,0,6,5,6,29
3,5,3,10,5,7,11
9,1,4,1,3,2,33
5,0,1,6,8,6,28
4,1,4,8,9,1,40
9,1,5,0,10,0,42
5,9,4,4,1,1,39
0,6,0,0,5,7,27
7,1,7,3,8,8,40
9,2,9,1,10,9,43
4,6,8,10,10,4,11
10,10,4,6,9,9,24
4,2,6,3,6,1,3
6,2,8,9,6,4,24
0,3,0,5,4,0,47
6,9,10,3,8,0,29
0,6,0,3,6,5,25
6,1,1,10,1,2,26
5,8,6,5,10,9,2
4,0,4,2,6,0,33
1,6,4,4,10,9,17
7,3,5,5,1,8,36
3,7,7,6,3,5,14
9,1,10,10,9,1,25
1,4,8,3,8,7,1
10,6,0,10,3,1,36
7,4,5,1,2,2,48
6,0,5,10,5,4,20
6,9,5,1,9,2,25
3,9,4,0,4,1,2
5,10,0,9,2,9,34
7,2,4,1,6,1,43
6,7,6,7,6,6,24
3,6,3,3,7,7,40
1,5,8,6,9,7,41
