90,3,50
910,883,951
9,4,4,24
8,8,0,45
10,3,10,8
3,9,11,8
1,8,3,43
1,10,3,6
8,7,11,9
10,8,9,11
8,2,11,18
2,1,5,9
10,0,11,25
8,5,5,24
6,6,8,30
7,3,4,37
11,0,2,30
8,6,1,47
8,1,7,21
1,8,1,19
2,0,3,9
4,2,4,22
7,8,10,17
3,10,0,19
1,5,5,1
2,11,1,49
9,8,1,41
11,1,11,27
0,11,2,35
1,10,11,17
6,7,1,0
1,7,3,26
10,8,7,22
11,1,9,9
11,1,4,35
11,8,0,29
6,9,1,0
10,11,11,32
9,3,7,25
9,5,0,21
6,3,9,43
5,6,2,11
10,6,1,37
9,8,4,3
6,10,4,5
11,3,4,5
10,3,5,37
11,5,0,4
1,0,7,37
3,3,0,23
10,0,0,6
10,6,2,48
6,9,10,50
4,10,1,13
0,9,2,9
7,11,6,15
11,11,8,31
5,3,2,3
4,3,0,29
0,6,3,44
5,11,8,10
0,6,6,19
3,3,8,40
1,3,11,31
4,10,8,50
7,8,1,23
6,10,10,41
8,8,2,37
3,8,9,12
6,2,8,28
2,2,3,2
1,9,3,42
1,11,8,23
1,8,0,41
9,3,9,28
2,11,4,39
8,0,10,36
3,5,7,28
7,6,8,22
0,4,5,1
4,0,8,27
3,4,0,30
2,4,2,29
7,5,4,21
3,7,7,7
0,8,2,0
1,2,3,50
0,6,1,26
3,3,3,42
5,0,5,1
3,6,4,32
9,8,1310,20
