90,3,50
609,8,985
0,4,6,13
9,3,1,17
1,4,2,42
5,5,1,13
4,3,8,3
1,5,2,6
4,5,11,12
8,8,9,26
7,7,0,37
9,3,6,1
1,5,3,40
10,10,3,18
9,0,7,13
0,10,8,2
6,1,10,25
4,8,10,33
0,0,10,5
3,11,5,4
9,10,9,3
7,9,4,49
0,4,3,30
5,3,9,27
5,9,11,46
9,9,6,8
7,4,1,32
1,11,9,41
0,0,6,13
6,6,4,42
1,6,3,34
1,7,2,20
0,10,10,9
7,11,9,50
11,3,0,13
6,10,6,48
8,6,6,34
5,0,4,3
0,3,7,38
0,3,5,16
10,4,3,11
2,3,11,0
10,4,8,8
9,5,8,34
3,5,8,17
10,4,3,41
8,2,7,44
2,7,9,50
0,6,11,33
2,9,5,30
2,7,7,33
11,3,8,33
2,4,4,23
7,10,9,8
6,0,4,37
10,6,2,0
2,5,9,40
10,0,10,1
8,1,3,16
0,5,1,48
9,8,6,23
5,5,11,4
6,0,9,36
5,8,1,23
8,4,10,34
7,1,6,29
8,2,4,19
4,6,4,33
3,9,6,50
11,1,8,6
4,3,11,49
7,10,5,44
9,8,5,25
9,11,10,21
10,9,4,18
6,11,11,37
2,10,1,16
11,3,0,8
0,5,9,39
8,0,7,11
2,1,2,35
0,11,5,10
2,11,9,18
3,3,0,9
8,4,7,0
7,11,0,29
1,9,11,9
4,5,9,23
0,6,9,21
4,4,11,3
7,8,2,15
0,7,110,45
