75,6,50
296,605,778,955,331,819
9,12,9,6,9,9,4
7,8,7,5,3,1,19
10,12,5,9,7,7,25
10,12,4,2,2,0,6
7,4,2,7,4,10,32
6,2,0,6,12,7,20
2,8,1,12,4,13,23
8,8,8,2,11,10,47
5,9,3,11,5,10,38
9,9,5,12,12,7,3
1,10,10,4,10,1,28
0,8,1,10,7,3,30
2,0,6,6,9,1,11
9,10,12,12,13,2,13
8,7,0,0,12,6,15
7,13,5,0,12,4,36
6,2,1,12,5,3,13
5,5,9,8,3,13,43
4,8,8,11,5,11,14
10,3,13,2,4,1,37
1,3,0,11,3,2,41
9,6,6,13,7,3,10
5,5,11,1,8,3,35
7,10,7,9,8,7,50
4,3,3,12,0,1,48
3,6,13,0,6,10,20
13,8,13,6,11,8,32
5,11,9,0,12,7,6
5,12,3,0,7,3,21
9,0,3,5,13,12,16
5,5,5,6,6,7,1
8,0,1,3,8,3,33
9,13,8,4,5,12,47
3,2,9,8,5,5,41
6,2,2,6,4,7,6
3,13,13,12,11,7,19
13,6,8,11,4,10,46
11,11,1,1,12,3,28
13,1,2,0,5,12,26
4,9,12,7,6,3,34
5,5,7,12,3,1,36
9,11,5,12,2,1,20
3,12,1,9,11,2,12
1,0,8,12,13,8,6
0,0,6,0,13,10,45
12,11,1,9,5,13,37
8,7,4,5,4,12,11
6,1,5,3,13,9,34
9,3,4,4,8,13,40
2,11,3,10,11,9,34
10,8,9,1,12,1,22
12,13,4,13,2,5,11
4,6,13,9,8,6,15
5,2,4,0,6,5,50
5,7,10,7,8,9,39
13,3,12,9,6,10,9
2,2,5,10,2,5,18
5,11,1,4,6,5,45
6,2,4,2,9,1,36
1,9,5,0,6,5,21
12,5,3,4,5,12,46
6,1,0,1,11,7,44
2,4,9,2,0,3,49
0,5,4,13,6,7,43
5,2,2,3,11,11,46
4,6,11,9,11,8,2
3,12,7,9,0,7,9
11,10,11,6,2,12,11
6,1,6,11,8,11,26
11,7,0,4,1,1,12
6,12,5,3,9,4,37
6,2,5,6,9,11,10
10,9,12,4,9,12,12
13,13,7,6,6,1,28
11,9,13,0,1,885,45
