95,4,50
387,574,239,649
10,6,9,3,43
4,2,8,2,29
6,9,5,4,40
4,5,0,2,24
2,5,9,10,27
5,8,5,7,40
10,3,0,5,12
10,0,3,2,12
2,1,5,7,35
4,6,2,6,1
10,0,10,2,27
7,10,2,5,19
0,5,7,0,35
0,0,8,2,35
0,10,0,8,35
4,10,5,8,44
5,3,7,2,27
3,5,1,5,45
6,4,6,2,47
5,9,1,4,32
0,6,9,4,37
7,9,2,8,10
5,2,7,8,49
9,9,5,7,9
1,10,6,3,7
1,7,9,10,29
7,9,9,8,43
5,5,3,4,7
6,3,9,10,42
2,2,10,4,40
10,5,6,7,8
4,2,5,0,23
7,3,3,9,19
4,8,4,8,4
2,10,10,8,24
2,3,6,0,37
7,0,8,2,8
0,1,9,3,36
3,9,9,6,44
7,4,5,2,27
6,8,6,7,17
4,4,4,8,24
2,5,7,5,5
4,3,9,1,18
5,2,10,2,42
4,7,9,2,44
1,10,10,2,17
3,2,9,0,39
1,3,1,4,44
10,3,5,2,34
10,8,1,7,26
9,10,9,3,31
5,9,5,8,50
7,6,4,8,39
7,3,7,10,43
7,5,2,4,46
6,1,4,7,20
7,2,4,9,31
10,4,4,7,19
4,0,3,8,22
5,4,10,9,15
3,2,9,1,26
2,10,3,1,0
3,2,10,1,1
7,2,2,10,1
1,4,0,1,32
4,2,7,0,45
2,8,6,6,46
6,5,8,6,39
7,1,6,2,49
8,5,7,4,33
2,9,6,8,4
8,3,9,1,48
4,1,0,8,33
4,3,7,5,10
9,6,8,10,2
0,1,3,1,38
10,2,10,0,39
2,2,5,2,44
2,3,6,0,29
0,5,5,3,13
4,0,4,6,44
7,0,8,10,35
9,5,8,4,32
5,4,2,3,45
5,6,0,3,9
0,4,8,3,3
1,2,2,1,29
10,1,0,1,49
0,8,7,2,48
10,7,10,1,24
3,0,3,5,11
8,7,5,4,15
8,1,10,3,37
7,7,10,10,23
