95,4,50
29,187,785,77
10,3,3,3,32
9,8,8,5,29
5,1,4,7,46
3,9,2,0,36
3,9,2,4,27
10,4,7,3,5
3,9,4,7,48
1,7,8,7,24
3,3,4,0,28
3,3,4,1,14
7,3,5,6,25
5,5,5,4,31
6,4,9,1,23
6,3,8,5,29
3,1,9,3,46
2,1,4,3,32
1,4,7,2,23
1,4,9,0,5
0,9,7,9,2
2,2,10,5,46
8,0,8,0,12
9,10,5,3,9
4,1,9,6,37
4,2,0,10,1
7,6,3,5,8
8,2,9,4,35
4,5,0,5,13
3,2,6,9,43
3,7,3,0,4
4,8,9,8,15
0,5,3,2,44
0,9,10,9,7
1,4,0,2,20
5,2,0,5,9
9,8,8,10,13
3,10,0,10,9
5,3,4,0,22
7,0,9,3,50
0,4,0,8,16
0,8,4,8,14
6,3,6,2,7
10,5,0,7,11
9,2,10,10,30
8,0,2,9,12
0,8,2,5,13
9,4,5,2,4
7,1,1,0,17
0,3,8,0,36
5,3,5,0,18
6,8,1,8,5
4,4,3,0,11
3,9,1,4,12
7,10,5,7,27
3,6,7,8,26
6,9,6,9,22
10,10,7,8,35
9,5,1,0,26
6,10,10,6,38
9,2,8,10,13
2,7,5,6,20
1,1,6,8,3
7,1,3,4,5
2,3,2,6,29
8,8,2,8,41
7,10,2,10,2
7,9,10,0,33
8,5,0,3,4
0,9,5,8,1
4,3,6,2,32
3,3,0,0,38
8,3,3,10,40
9,3,9,2,28
10,1,1,10,45
6,4,4,4,15
3,9,6,3,31
10,6,9,8,5
4,3,2,7,24
8,8,9,8,4
1,6,3,7,9
7,7,5,0,13
1,1,2,8,7
9,6,0,3,42
2,2,7,5,29
3,10,4,7,30
8,6,9,5,26
6,6,4,6,14
0,0,8,1,25
4,2,6,6,16
6,1,2,7,35
2,5,1,5,10
0,4,5,7,0
4,0,0,6,6
4,2,9,10,25
9,8,1,4,33
6,9,10,6,15
