55,5,50
396,23,912,291,285
7,15,14,17,12,31
2,5,11,16,8,45
11,15,12,13,14,23
10,8,8,11,6,3
4,14,5,10,3,36
2,9,10,7,16,20
8,1,14,6,18,23
12,15,2,5,9,40
4,7,0,5,5,29
5,7,2,0,7,40
13,15,8,12,14,48
10,9,6,0,10,15
2,0,1,13,2,34
4,11,13,12,6,38
3,4,13,13,10,26
15,14,13,4,8,19
15,12,16,11,2,23
11,9,4,6,11,48
15,8,6,2,17,45
15,8,17,15,11,30
13,0,11,11,16,47
0,3,7,5,0,18
10,5,12,12,10,27
12,13,16,3,10,18
9,2,13,11,14,5
3,15,16,16,8,13
10,11,9,0,11,15
0,12,5,1,3,22
14,5,11,18,2,32
18,9,6,0,5,30
6,12,0,3,17,10
18,9,1,4,2,7
13,8,1,12,6,20
16,11,15,7,14,31
3,14,12,5,13,36
16,18,4,11,13,22
14,13,4,10,13,17
12,13,1,16,2,43
1,5,14,2,0,7
2,14,10,0,5,40
9,5,10,3,6,26
7,12,3,11,15,48
1,0,1,13,13,1
6,17,14,2,16,47
18,7,18,17,8,9
17,9,6,5,11,10
16,10,4,7,9,8
18,18,0,13,16,39
16,2,16,7,0,50
10,8,4,2,9,28
5,2,15,3,12,5
16,7,7,13,8,39
18,8,6,13,11,30
8,17,3,3,12,9
3,0,2,18,0,43
