45,3,50
54,857,121
14,18,8,11
17,16,17,5
3,18,15,37
3,5,21,11
18,20,0,44
4,3,8,14
1,0,1,39
14,10,14,15
14,10,19,14
15,15,16,47
16,20,5,14
1,15,10,40
11,19,17,42
4,14,4,1
4,2,13,46
2,12,16,13
10,21,11,18
20,21,12,49
2,18,8,33
20,0,16,38
20,20,17,48
14,22,17,28
15,8,8,5
16,15,10,50
2,17,11,12
15,15,16,34
16,20,18,46
19,9,17,39
21,11,17,14
8,21,12,37
0,10,9,23
0,15,0,11
2,2,16,38
16,10,22,17
8,5,15,9
12,19,6,9
12,12,19,45
11,17,17,37
6,8,7,2
21,11,20,49
19,10,22,35
15,13,17,50
19,15,7,6
14,10,10,33
8,15,20,42
