100,6,50
379,464,825,218,295,454
8,10,1,1,5,1,13
6,0,5,6,1,3,1
6,1,0,3,1,3,46
0,2,0,9,7,8,1
3,0,7,6,8,9,1
0,6,8,3,2,8,33
2,3,9,2,0,3,5
4,7,10,9,4,0,7
10,0,0,7,0,3,35
2,3,5,4,10,10,0
0,3,10,5,4,8,7
4,9,10,7,9,5,35
7,7,3,0,6,1,50
3,9,1,7,6,1,50
0,10,4,7,2,6,30
7,7,6,2,6,7,23
3,10,8,9,1,4,3
0,9,2,5,2,1,2
3,5,9,4,0,7,45
4,8,0,10,6,8,33
6,5,10,2,7,1,10
9,4,10,3,8,10,49
6,10,7,7,4,10,28
3,6,0,0,0,7,23
9,1,4,8,10,3,0
7,10,5,5,10,9,48
5,10,7,8,1,5,0
2,2,3,8,10,0,20
1,8,5,4,3,9,15
5,2,1,4,9,2,22
3,7,7,2,8,0,29
6,3,9,3,5,7,16
1,1,9,0,3,3,25
9,2,9,5,3,9,16
0,3,6,9,8,2,12
3,8,6,2,8,1,7
4,9,4,9,9,3,18
3,5,10,5,5,7,14
10,4,7,9,9,7,43
0,0,8,10,10,4,42
9,2,1,5,4,2,37
5,4,3,0,2,5,34
5,9,5,4,9,0,49
7,5,2,8,10,5,9
4,5,9,0,9,1,11
10,2,0,10,0,4,20
4,7,3,8,1,9,2
2,2,2,9,9,1,29
4,1,6,6,9,7,38
10,1,7,4,10,6,46
5,4,2,5,8,3,45
6,9,10,6,7,3,43
4,4,7,3,3,6,1
3,0,9,0,1,4,18
5,5,6,10,2,3,9
4,3,8,9,6,4,3
5,1,8,9,3,6,47
8,0,4,4,0,1,48
1,10,7,1,9,8,0
9,0,3,10,10,4,14
3,2,6,0,10,0,30
6,0,6,5,0,7,1
5,10,9,6,9,0,39
8,8,7,4,1,3,46
9,6,8,8,6,3,36
3,9,10,10,2,1,21
2,9,0,4,5,3,1
10,5,4,6,9,10,3
8,1,3,6,10,4,5
6,0,2,0,3,7,13
8,7,8,1,9,6,14
0,5,1,7,8,4,36
7,1,4,4,4,8,40
0,9,9,10,10,8,20
2,1,4,5,8,3,39
7,4,3,0,9,0,38
5,4,5,8,6,3,4
2,9,10,6,4,6,34
0,7,9,6,9,10,44
6,4,8,10,1,7,42
4,5,6,6,6,9,22
4,8,1,2,8,9,33
7,9,7,0,0,4,38
10,1,5,4,8,6,29
0,6,1,4,6,4,39
5,0,6,4,10,8,24
6,3,6,9,6,5,49
9,0,7,8,10,2,16
10,0,1,2,0,6,9
4,1,1,3,4,3,32
8,10,3,0,2,9,42
8,6,3,2,6,5,23
5,1,7,5,6,5,31
1,6,4,7,8,10,48
8,6,6,2,1,5,10
2,3,0,5,6,6,22
0,8,0,6,8,4,0
1,10,4,7,9,5,13
2,2,6,7,9,2,16
2,2,10,9,7,10,23
