60,3,50
217,956,966
6,5,14,11
16,9,1,10
4,4,4,42
13,9,15,30
3,1,10,2
12,9,12,26
6,5,12,14
16,13,15,9
12,5,11,5
7,0,5,25
12,4,1,3
15,10,6,32
9,8,12,15
16,12,3,44
7,1,14,18
13,4,3,42
10,9,6,0
3,11,1,20
15,1,12,35
3,9,12,30
15,15,7,19
8,14,6,6
14,15,15,12
6,3,1,22
9,0,2,31
7,0,1,40
16,5,4,35
0,9,3,23
0,4,3,38
16,4,15,1
2,2,4,48
9,5,9,31
5,12,8,29
4,5,16,40
13,16,1,3
6,13,8,26
13,0,8,17
11,1,7,4
4,0,11,22
10,15,9,13
9,1,3,5
1,0,13,41
13,15,15,40
0,11,12,39
9,7,5,28
16,1,8,4
15,3,2,13
9,8,7,27
5,14,2,18
13,12,11,0
1,0,6,21
11,4,9,0
1,6,2,20
14,3,13,2
3,3,5,46
7,3,3,17
8,5,1,5
15,3,12,41
3,10,12,48
12,4,780,39
