75,3,50
392,161,472
9,4,2,21
12,7,11,28
4,10,4,17
11,3,12,15
5,10,7,29
8,4,6,14
12,3,13,37
1,13,10,3
4,10,2,21
1,9,10,28
9,11,3,19
13,8,8,34
6,13,9,3
8,7,9,42
5,10,6,0
11,0,7,10
1,8,2,24
1,2,5,40
4,2,13,26
10,9,8,14
8,9,6,8
13,10,9,41
3,7,5,29
4,2,11,48
4,9,2,2
8,2,11,28
13,6,0,33
12,7,13,46
9,13,12,14
0,4,1,30
0,9,13,4
0,10,1,21
13,10,6,29
10,6,11,44
10,4,8,32
1,12,0,2
1,7,11,44
7,4,5,16
13,7,8,5
11,5,9,24
1,4,11,46
6,5,2,47
2,0,6,39
6,1,1,44
5,0,6,12
2,4,2,39
2,4,4,7
4,12,9,8
4,12,6,19
5,8,11,6
6,7,3,43
5,7,2,40
0,7,3,12
13,0,13,23
7,9,10,37
5,4,2,35
7,4,12,40
13,10,2,29
1,6,12,26
2,13,2,45
8,13,6,5
13,13,10,30
1,10,13,39
8,6,5,27
2,5,13,20
8,4,5,29
12,0,3,50
7,0,5,49
11,7,3,3
11,1,0,29
6,10,1,34
10,11,12,42
7,10,3,17
10,9,1,8
7,8,6,44
