5,4,50,,,,,,,,,,,,,,,,,,,
187,604,173,622,,,,0,0,0,0,,,,,,,,,,,
110,48,47,15,33,,,0,0,0,0,33,1,220,0,7260,,,,,,
157,141,94,104,36,,,0,0,0,0,36,1,496,243,18099,,,,,,
77,78,81,139,24,,,0,0,0,0,24,1,375,0,9000,,,,,,
25,165,93,96,45,,,25,0,49,0,45,1,305,44,13769,,,,,,
14,101,37,38,33,,,0,0,0,0,33,1,190,14,6284,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,,,,w=1,w=2,w=3,w=4
,,,,,i=1,k=1,110,,,,,,,,,i=1,k=1,110,,,
,,,,,,k=2,,48,,,,,,,,,k=2,,48,,
,,,,,,k=3,,,47,,,,,,,,k=3,,,47,
,,,,,,k=4,,,,15,,,,,,,k=4,,,,15
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,,,,w=1,w=2,w=3,w=4
,,,,,i=2,k=1,,,,,,,,,,i=2,k=1,63,,,
,,,,,,k=2,57,141,,,,,,,,,k=2,,141,,
,,,,,,k=3,,,8,,,,,,,,k=3,,,89,
,,,,,,k=4,100,,86,104,,,,,,,k=4,94,,5,104
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,,,,w=1,w=2,w=3,w=4
,,,,,i=3,k=1,77,,,,,,,,,i=3,k=1,,,,
,,,,,,k=2,,78,,,,,,,,,k=2,,78,71,
,,,,,,k=3,,,81,,,,,,,,k=3,,,,
,,,,,,k=4,,,,139,,,,,,,k=4,77,,10,139
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,,,,w=1,w=2,w=3,w=4
,,,,,i=4,k=1,,,,,,,,,,i=4,k=1,,,,
,,,,,,k=2,,165,,,,,,,,,k=2,,165,,
,,,,,,k=3,,,,,,,,,,,k=3,,,,
,,,,,,k=4,,,44,96,,,,,,,k=4,25,,19,96
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,,,,w=1,w=2,w=3,w=4
,,,,,i=5,k=1,,,,,,,,,,i=5,k=1,14,,,
,,,,,,k=2,14,101,,,,,,,,,k=2,,101,,
,,,,,,k=3,,,37,,,,,,,,k=3,,,37,
,,,,,,k=4,,,,38,,,,,,,k=4,,,,38
