65,5,50
221,553,628,134,668
0,5,5,6,3,27
3,2,15,5,15,33
2,10,7,6,3,34
13,14,9,2,14,21
13,3,2,14,0,30
4,11,15,5,3,33
6,12,7,14,3,12
7,7,13,15,11,40
5,2,14,13,11,3
6,4,4,10,7,23
10,1,5,1,5,27
9,14,9,8,5,23
0,13,11,13,9,0
11,12,0,12,11,8
0,4,13,11,7,3
11,4,10,7,6,36
8,2,15,10,3,0
5,5,12,4,1,42
14,4,14,9,14,12
14,15,1,6,8,16
15,2,6,5,7,22
14,6,3,0,15,14
12,7,15,0,1,18
2,8,5,5,14,27
6,3,13,3,5,21
2,11,3,2,15,33
9,3,7,6,11,17
15,11,13,9,11,12
6,15,6,13,4,45
1,2,1,0,0,47
5,5,2,5,11,14
0,9,8,9,7,8
10,4,9,15,13,6
0,14,4,3,5,48
5,12,0,13,6,8
1,6,7,1,15,29
0,4,15,12,13,41
7,6,7,10,3,28
4,12,7,1,2,40
6,13,0,1,3,4
13,5,6,7,5,45
2,5,9,6,5,46
15,13,15,7,10,21
6,10,11,12,8,25
8,0,3,9,12,7
2,9,14,13,9,34
7,12,3,11,14,18
9,13,7,12,6,43
12,4,9,15,9,10
11,6,14,9,2,41
1,7,4,10,2,43
0,12,3,11,10,11
8,2,5,11,11,34
6,3,4,8,6,5
6,4,8,9,13,6
12,15,7,9,3,22
0,0,4,0,3,43
14,10,14,12,15,25
5,8,5,14,10,0
3,3,11,10,6,31
12,8,8,9,7,1
5,10,1,11,12,10
15,2,8,3,8,5
0,9,13,7,12,44
6,9,9,1,15,9
