65,10,50
566,69,457,644,377,450,490,81,250,132
7,12,2,14,6,8,15,4,5,4,37
7,1,4,8,6,7,3,5,15,4,6
2,9,11,3,7,3,6,8,13,13,22
0,6,5,3,11,14,5,13,10,0,33
9,5,12,9,11,7,7,13,12,13,45
4,7,15,1,10,2,14,4,6,1,8
8,4,7,6,3,3,15,6,10,0,46
8,7,2,10,11,10,7,15,11,14,22
0,5,14,8,12,9,7,9,0,1,30
4,12,2,6,5,1,0,12,0,14,40
4,10,12,6,7,6,6,14,12,3,45
12,6,4,11,4,14,0,6,15,3,20
8,6,0,5,12,15,13,1,11,7,42
9,8,1,5,0,9,14,3,8,8,7
2,6,8,5,2,2,11,1,13,3,7
11,7,10,8,12,5,13,10,2,13,23
8,3,12,15,0,2,13,7,7,0,19
5,11,4,10,7,7,14,4,2,7,4
6,12,13,14,13,11,3,0,10,13,44
5,5,10,2,3,2,6,3,12,3,14
12,10,14,7,2,15,0,2,11,6,3
3,3,14,11,3,14,8,7,2,15,13
7,8,9,8,8,15,4,10,8,15,46
15,6,10,3,11,10,10,6,13,5,37
1,4,10,13,2,3,13,13,7,8,14
3,11,10,9,8,2,1,1,9,7,9
11,8,3,11,9,1,1,4,6,0,32
7,15,1,9,9,3,8,1,9,7,18
1,0,13,11,4,10,5,1,1,4,1
9,10,6,5,1,4,4,14,6,8,22
4,7,9,1,1,9,7,9,4,13,42
3,10,15,4,12,13,0,9,4,10,0
0,5,6,1,7,4,3,1,1,5,32
7,11,4,15,10,15,1,12,12,9,20
10,11,8,0,15,12,7,3,3,5,30
0,5,9,1,13,15,10,2,1,11,49
7,9,6,2,2,8,4,7,10,15,18
9,9,13,5,14,3,9,9,15,8,25
9,1,12,6,10,7,5,10,14,6,4
9,14,9,8,7,6,6,15,7,1,29
15,12,7,14,4,13,4,13,10,8,25
1,14,8,10,2,0,9,0,4,12,1
13,7,9,5,9,1,0,13,8,8,17
5,11,5,4,8,10,5,12,5,2,11
0,10,9,1,12,5,10,13,5,8,32
4,12,11,5,0,5,6,1,9,9,43
11,9,9,1,5,1,3,14,6,10,49
5,15,14,1,7,2,7,8,7,5,39
10,1,3,11,6,13,4,11,13,3,26
4,12,0,13,7,10,10,15,2,3,12
2,15,7,7,2,12,13,1,13,11,44
14,10,11,11,8,10,6,6,8,13,11
4,15,8,1,8,2,6,2,5,5,47
14,5,12,2,2,11,14,14,5,8,4
3,6,11,15,10,3,12,7,15,11,17
4,0,5,4,13,2,3,6,10,5,3
4,15,8,3,12,5,15,15,6,15,32
5,15,11,13,8,7,8,13,8,7,29
12,13,7,5,11,11,15,7,3,2,14
7,14,6,6,15,9,15,0,3,7,28
15,4,9,14,14,1,13,10,1,1,31
0,9,15,10,4,8,5,0,8,5,17
11,3,2,3,2,14,12,14,4,1,44
1,8,14,11,13,9,11,1,10,2,43
2,5,6,4,9,12,3,11,7,8,5
