95,3,50
93,740,452
2,3,10,36
10,6,9,30
7,10,2,35
3,8,0,36
6,2,1,23
6,9,6,47
0,5,2,37
5,4,0,8
2,7,8,47
6,2,6,15
8,2,4,14
0,5,10,14
5,4,2,44
4,5,8,48
2,7,0,38
4,4,4,7
2,4,4,10
8,1,10,15
1,8,7,50
10,9,6,35
8,1,7,4
3,7,4,2
9,7,2,41
10,2,1,49
2,5,5,23
3,9,10,33
1,0,3,33
0,9,7,1
0,2,2,7
1,1,8,49
8,3,9,31
9,1,9,6
4,5,9,42
3,4,1,41
8,3,2,48
0,6,5,14
4,2,5,12
10,5,6,21
10,2,10,34
0,3,0,9
8,0,2,6
8,2,8,9
1,3,10,7
10,2,3,22
6,1,9,42
5,9,8,28
9,3,3,31
3,8,3,28
5,6,9,19
5,4,9,10
2,4,9,40
4,1,10,23
5,7,1,2
1,10,8,0
7,3,4,43
5,2,6,33
4,10,1,17
8,10,3,34
1,8,9,30
3,7,9,36
6,0,4,9
3,1,4,40
9,6,2,47
4,9,3,18
7,9,7,46
10,10,5,45
7,8,1,50
3,3,3,28
8,1,8,42
2,10,7,48
2,10,10,6
7,2,4,50
1,2,2,13
3,6,6,29
1,7,7,28
4,7,4,38
7,2,7,9
4,5,1,49
4,9,9,21
0,0,10,15
7,1,10,37
6,1,6,49
0,2,1,35
10,5,9,4
0,7,8,11
1,2,0,37
0,4,6,25
3,0,4,1
2,3,0,42
4,9,10,10
5,8,1,20
8,4,10,36
4,8,10,29
7,2,4,33
8,2,9,37
