40,4,50
121,992,501,584
13,23,14,7,32
19,25,4,22,14
11,24,11,11,11
25,6,8,16,34
18,25,5,6,28
14,17,8,18,12
10,15,17,19,20
9,9,23,14,50
25,14,21,21,14
16,7,3,10,30
2,11,9,1,18
15,0,0,3,42
22,4,14,11,32
2,11,3,20,27
21,17,10,1,46
21,22,19,5,38
1,15,13,6,0
2,20,19,1,35
2,20,21,3,3
10,17,19,7,22
4,14,16,5,17
22,6,24,3,12
1,0,11,19,46
0,22,14,23,45
22,25,7,6,20
13,11,16,2,39
24,19,2,3,49
16,19,21,0,0
12,4,8,13,23
6,8,14,3,26
3,18,15,24,28
19,22,5,20,35
17,13,3,7,33
8,16,14,1,35
23,3,10,4,4
13,5,4,4,25
23,20,18,4,16
25,17,8,9,0
6,1,0,9,43
9,25,7,285,19
