70,4,50
801,667,461,284
0,1,6,4,34
13,11,8,5,12
13,7,14,4,34
9,12,10,10,43
9,10,1,11,32
0,8,7,12,9
12,4,8,14,36
1,6,7,4,20
11,11,9,10,25
3,10,5,6,12
13,0,9,6,7
13,6,5,1,28
11,10,0,2,48
2,13,11,5,49
12,11,6,9,29
11,5,9,13,10
13,13,3,13,48
9,12,4,13,49
0,7,7,12,8
0,11,14,0,1
3,10,8,13,45
4,10,10,14,14
0,8,13,0,48
2,4,10,2,26
2,5,1,5,45
2,6,10,12,3
7,3,6,2,25
6,9,11,4,32
4,12,4,14,15
7,14,13,5,2
1,0,9,4,45
11,6,10,8,8
7,13,4,7,3
9,3,13,10,8
7,6,0,7,29
10,5,12,6,28
6,4,0,0,0
1,11,5,5,22
11,2,13,6,17
9,1,0,8,41
5,13,5,8,15
0,6,3,0,25
7,2,0,12,34
2,14,5,13,1
8,13,13,2,37
9,10,9,12,35
11,11,13,10,44
4,14,13,4,20
14,12,5,1,32
1,2,0,1,30
11,7,5,13,4
12,4,9,2,41
9,5,2,0,23
7,7,1,5,17
14,14,0,2,48
0,9,3,12,49
11,8,10,5,27
14,0,5,9,1
10,10,3,12,24
9,13,10,2,10
8,3,10,1,0
14,10,14,5,16
5,7,9,0,37
10,2,12,1,47
4,5,1,12,9
14,14,13,12,35
11,3,14,1,10
5,14,9,5,9
10,5,6,1,29
0,3,11,213,34
