70,7,50
100,754,634,498,771,471,8
0,4,4,12,1,7,8,36
2,12,11,8,14,1,8,43
2,12,5,1,0,1,3,3
5,5,6,6,6,4,11,42
5,4,7,0,3,13,8,7
2,4,0,13,7,11,2,4
5,14,8,12,8,11,1,30
4,13,5,10,4,2,4,30
5,2,12,12,4,1,1,26
3,14,9,1,0,8,3,50
14,11,6,4,0,11,5,23
4,11,2,6,8,11,1,23
6,12,10,8,0,12,0,26
4,6,1,10,8,5,9,48
3,6,3,0,1,3,6,17
14,1,7,4,0,3,4,1
13,1,11,11,6,12,11,12
7,5,9,13,2,1,10,10
4,14,0,14,3,1,1,37
11,7,10,6,10,4,12,35
12,3,10,11,4,3,7,8
11,12,2,3,5,5,1,18
13,12,12,11,8,8,0,5
10,8,9,10,13,2,9,16
9,7,8,6,10,3,13,7
9,6,2,13,2,1,4,49
11,1,5,13,7,14,13,37
13,11,7,5,1,3,12,6
4,7,13,11,5,12,1,48
2,8,12,5,2,12,12,49
8,8,9,12,3,5,1,17
11,8,5,12,3,11,10,11
5,0,5,2,5,0,12,11
13,11,14,8,12,4,13,7
2,2,8,2,4,7,0,1
7,6,4,11,4,0,1,6
3,0,13,4,2,13,7,1
6,5,14,1,0,7,13,9
10,3,11,13,4,11,0,39
1,10,2,10,10,2,9,35
7,2,12,5,10,3,13,14
13,10,14,14,8,1,4,10
8,7,10,13,3,13,1,47
3,2,10,10,8,6,7,39
10,12,13,8,0,1,14,14
4,1,2,7,11,14,3,36
0,2,10,5,6,4,6,16
6,2,2,1,3,11,5,25
6,0,4,10,8,2,4,40
4,12,14,6,2,10,7,1
4,0,5,10,6,5,4,2
13,13,14,10,13,5,6,48
2,10,0,4,14,5,10,18
1,0,4,10,0,0,6,21
13,0,14,11,13,0,2,9
3,0,3,14,13,1,1,28
1,2,7,10,10,12,7,26
4,6,13,1,5,14,10,4
0,7,4,3,7,3,10,34
2,2,9,11,7,1,4,37
12,3,8,8,11,5,4,6
8,2,13,12,14,2,12,1
2,11,6,1,14,0,13,16
5,0,0,4,9,9,3,8
5,3,5,7,13,6,10,50
9,3,13,12,1,8,12,36
0,6,14,2,14,6,6,45
6,0,6,8,6,10,1,25
13,11,8,10,0,13,9,12
10,2,12,14,12,3,0,22
