100,11,50
831,951,911,817,822,171,204,208,24,286,624
9,4,6,10,0,1,2,10,10,0,2,44
2,2,0,2,3,0,6,7,9,9,2,15
5,9,6,7,0,7,6,1,3,6,0,25
1,7,4,3,0,9,3,7,1,5,10,18
6,4,2,9,8,3,6,3,7,7,9,28
4,1,9,0,3,9,8,8,2,10,7,41
9,9,2,0,5,2,2,5,3,2,2,32
7,7,5,4,5,1,7,9,10,10,3,36
6,2,9,8,10,9,5,5,9,6,6,41
10,4,7,6,6,4,4,2,4,6,10,39
3,7,6,8,2,0,8,1,5,2,6,25
4,6,4,10,2,9,3,4,9,10,2,24
0,10,1,10,8,5,0,1,3,5,10,46
9,2,3,2,4,7,2,2,5,2,0,23
3,1,9,2,3,7,0,8,7,7,0,5
5,0,10,4,5,4,7,7,2,6,9,8
3,10,2,8,0,6,1,10,10,1,7,2
6,6,0,9,8,4,9,2,0,7,0,35
8,3,3,8,5,9,7,2,3,8,0,36
10,9,5,5,10,3,4,5,2,4,6,44
9,0,5,6,6,9,4,10,10,7,8,16
9,9,1,4,2,5,5,6,3,10,10,3
10,4,4,10,2,1,9,7,3,3,7,4
6,0,7,1,5,9,10,10,9,4,3,17
6,10,10,4,0,7,6,4,4,7,9,30
9,3,4,9,9,8,6,10,9,7,5,50
9,0,10,7,7,3,8,6,1,3,6,4
8,10,5,1,8,8,0,6,0,10,6,40
9,6,1,10,6,0,2,0,3,2,9,27
6,2,2,1,9,4,0,7,0,8,7,6
2,0,4,1,4,5,0,10,8,9,8,26
0,4,10,1,10,10,9,9,2,10,10,20
3,1,5,9,3,8,8,1,7,0,5,48
7,9,4,6,2,9,5,10,2,3,1,14
8,0,3,4,7,1,0,3,4,4,7,30
7,9,8,9,1,9,9,8,2,6,7,12
9,8,10,4,1,9,10,7,6,10,6,42
3,4,0,9,9,2,2,1,4,7,4,46
2,3,2,5,4,3,3,1,8,4,4,45
4,2,4,10,10,3,1,9,8,4,0,12
6,1,0,3,2,1,2,6,6,2,4,35
3,8,6,2,3,1,6,6,10,10,5,25
5,7,6,2,3,7,10,8,1,2,8,12
2,8,7,4,5,2,2,4,8,3,6,2
3,6,10,2,8,9,5,6,3,7,6,28
10,9,9,4,10,9,6,0,6,3,8,25
4,2,7,5,0,6,2,4,7,4,5,36
3,2,6,10,7,6,0,4,8,2,2,27
1,3,4,1,0,4,1,5,1,10,10,45
3,1,9,1,0,9,9,2,8,2,3,40
6,0,7,7,8,5,9,7,9,8,3,26
9,7,9,0,8,1,10,6,4,4,9,37
0,4,1,7,2,9,1,5,0,3,7,25
3,0,5,9,2,3,7,8,1,6,9,33
2,3,3,0,4,8,6,1,9,6,2,24
2,3,5,0,6,0,7,3,3,4,5,36
8,3,9,10,9,9,4,9,9,2,1,4
9,6,7,1,8,6,3,6,7,5,2,5
9,3,4,5,7,8,6,8,2,5,1,22
9,8,5,8,4,3,10,5,4,4,6,6
0,10,7,3,8,4,10,4,1,8,5,1
0,8,2,4,0,4,2,6,8,0,8,49
9,4,1,1,3,5,0,5,2,9,7,11
3,1,7,9,8,5,8,6,2,4,1,50
7,7,4,10,3,10,2,6,7,8,7,20
0,2,1,10,3,7,4,1,10,5,3,8
8,8,4,6,1,2,4,4,1,6,8,28
5,10,7,4,7,1,8,5,3,9,3,15
7,4,8,9,1,3,8,7,1,8,1,23
6,4,8,7,5,9,9,2,10,5,7,13
8,8,10,1,4,5,10,4,10,7,0,0
5,7,4,10,4,10,2,6,2,1,4,43
5,9,7,8,3,9,8,4,6,3,4,48
8,5,10,8,3,2,3,4,10,3,3,21
4,3,8,1,3,7,4,5,0,0,1,46
8,4,9,7,7,0,7,0,2,0,4,7
9,7,9,3,9,10,8,7,5,1,3,9
3,4,9,3,5,6,5,8,9,5,8,9
4,4,6,5,1,2,8,6,6,7,0,43
9,4,4,3,0,2,10,7,1,0,3,24
2,2,7,0,3,2,5,6,2,6,5,43
8,3,4,8,3,8,5,3,10,6,5,5
1,0,6,4,0,0,10,8,5,10,2,28
5,10,0,5,8,4,6,2,2,3,7,11
6,6,5,8,6,10,10,2,8,3,3,3
5,4,5,2,5,3,2,1,7,9,6,28
2,4,4,0,7,2,2,3,10,5,9,44
1,4,1,10,9,5,2,6,4,10,5,45
0,4,3,0,9,10,5,0,2,5,1,37
7,1,6,7,9,3,3,6,0,4,10,37
9,0,9,1,0,1,6,0,9,6,10,5
2,7,9,3,4,5,7,9,2,1,6,49
3,2,10,6,4,8,4,0,4,3,2,1
0,5,6,4,6,8,9,7,4,9,4,2
3,9,4,5,3,1,1,10,5,8,2,32
0,10,5,2,10,1,1,1,1,3,2,19
7,6,7,9,0,7,6,8,10,5,3,14
9,0,10,0,1,3,6,6,10,5,1,4
5,4,9,10,10,4,8,10,3,8,4,33
7,2,9,2,8,9,2,3,9,9,267,50
