70,3,50
999,136,823
7,11,12,3
7,4,3,38
9,14,6,1
0,7,6,28
13,14,7,28
14,5,11,40
6,10,1,18
6,0,6,48
14,13,11,38
11,9,12,45
6,0,2,39
3,10,8,18
12,4,6,22
11,2,14,24
11,4,13,29
5,11,11,40
8,9,5,4
3,6,6,47
4,1,4,24
5,4,10,16
6,12,10,36
8,0,12,45
9,13,11,20
13,10,2,21
8,7,10,37
4,0,3,24
6,7,14,13
12,13,5,39
7,12,13,6
11,0,11,12
11,5,0,16
0,3,5,31
0,1,5,24
0,2,12,48
8,3,1,21
0,3,11,24
11,6,10,3
7,7,3,39
10,5,5,21
9,3,0,4
9,4,5,15
12,14,3,12
14,9,1,20
7,3,4,4
13,3,14,1
8,0,13,25
3,10,12,24
1,8,10,47
6,3,0,14
5,8,2,29
7,9,12,11
6,2,11,6
5,13,6,34
9,10,10,17
12,8,0,42
14,1,9,30
8,10,1,33
6,0,8,32
3,13,12,4
8,14,12,25
2,12,6,42
2,9,13,8
4,1,1,2
8,12,4,25
4,10,11,40
2,7,5,45
9,9,2,19
2,7,12,2
12,7,13,46
9,12,466,9
