90,3,50
583,110,659
4,1,7,13
1,4,10,27
10,6,4,41
6,7,6,30
9,10,11,46
9,10,11,37
11,4,10,28
4,9,0,30
11,5,10,21
2,7,2,3
3,3,6,36
9,2,2,29
10,5,7,31
8,1,11,42
7,1,10,45
1,4,9,31
9,5,6,21
8,4,11,36
1,3,3,20
6,1,10,14
11,9,7,32
11,6,11,23
5,10,9,9
1,5,9,44
6,3,5,18
2,0,5,15
8,2,5,27
6,8,9,16
8,3,3,35
7,2,9,7
4,6,5,21
7,9,9,20
8,6,4,3
5,10,4,0
6,1,2,18
8,4,10,8
8,5,8,6
7,8,11,13
5,1,0,8
7,2,7,6
8,6,4,49
1,6,0,48
1,3,4,40
5,8,3,34
11,5,4,24
4,4,11,6
4,4,9,6
10,3,0,43
9,0,7,32
5,8,5,31
5,4,1,17
9,4,11,33
2,3,5,18
9,11,4,19
4,6,3,35
4,0,8,42
8,11,3,13
5,1,0,17
11,1,0,13
6,9,2,37
1,5,1,3
11,8,2,31
2,11,4,44
8,10,8,32
8,11,2,38
10,4,11,20
7,9,9,16
7,1,4,24
11,1,10,0
9,3,9,39
1,11,11,15
11,4,10,13
7,1,10,2
4,1,0,49
8,4,0,1
2,11,5,41
9,11,7,40
0,8,5,37
10,7,8,13
5,6,0,30
5,0,9,16
10,1,5,29
6,10,5,49
8,8,9,3
10,5,3,4
0,8,2,35
5,10,11,36
1,9,8,47
11,4,5,42
5,11,0,34
