80,6,50
259,895,997,396,10,193
3,0,2,1,6,0,40
8,8,11,5,2,3,42
3,3,12,2,2,8,2
2,5,6,0,0,3,8
4,1,4,1,8,12,16
4,5,6,6,2,10,26
8,4,5,4,7,12,37
12,9,2,8,5,10,16
5,0,9,1,0,7,46
2,4,7,8,6,10,23
10,8,8,11,8,12,43
5,7,1,5,2,9,4
9,2,2,1,1,3,47
3,10,1,0,1,2,2
0,6,7,8,3,10,27
1,2,3,8,7,8,17
3,3,10,5,1,9,9
7,8,11,8,9,11,37
3,11,2,0,12,4,37
9,12,8,12,12,12,24
9,1,5,8,12,8,35
7,10,11,7,1,6,17
8,6,12,1,11,7,11
12,7,10,6,5,3,10
1,10,10,9,0,2,42
5,6,11,3,9,2,34
9,6,0,1,10,1,10
12,5,11,6,4,0,22
3,2,4,7,1,0,17
7,7,6,6,0,10,43
8,3,1,1,10,1,44
6,8,10,9,3,2,47
6,0,10,3,1,5,22
10,4,10,2,8,11,3
0,10,12,2,2,8,0
9,10,2,12,3,10,12
10,8,11,11,12,5,4
10,0,10,9,11,5,36
12,2,12,7,0,1,27
6,3,9,2,9,5,46
0,0,8,12,10,6,47
1,1,3,11,0,3,0
11,12,6,2,11,2,4
1,7,1,1,11,6,12
8,3,4,10,6,7,33
12,8,7,12,11,4,49
11,2,2,12,1,0,47
0,12,6,7,2,10,8
3,4,0,10,6,1,43
2,11,0,9,2,2,8
9,7,11,4,4,0,46
3,3,11,1,2,2,24
9,10,6,4,5,10,18
6,0,12,1,6,9,37
9,10,7,9,1,1,41
11,5,5,0,9,1,29
5,7,8,12,11,12,22
9,11,8,5,6,8,21
6,3,2,9,3,10,2
9,1,8,4,0,5,3
11,10,2,12,8,10,6
10,8,2,12,10,7,48
1,3,0,2,0,11,41
5,4,12,5,1,9,15
12,0,8,4,12,2,29
3,5,8,4,11,6,40
0,12,5,12,2,4,29
4,2,0,5,11,5,0
12,9,9,5,9,9,43
11,7,4,5,11,9,12
10,0,8,5,12,10,22
11,4,0,5,6,10,5
6,8,5,6,5,11,23
5,8,1,3,7,12,35
3,10,5,4,1,5,43
11,12,1,5,10,10,14
4,1,7,3,7,2,24
6,4,10,11,2,3,43
4,4,2,0,1,7,28
4,0,3,12,2,12,20
